reference	length_class	chr	annotation	ref_len	below_1mb
Aotus_nancymaae	18434507	autosomes	NA	18434507	FALSE
Aotus_nancymaae	18987150	autosomes	NA	18987150	FALSE
Aotus_nancymaae	19988660	autosomes	NA	19988660	FALSE
Aotus_nancymaae	20378928	autosomes	NA	20378928	FALSE
Aotus_nancymaae	20914963	autosomes	NA	20914963	FALSE
Aotus_nancymaae	21167901	autosomes	NA	21167901	FALSE
Aotus_nancymaae	21279140	autosomes	NA	21279140	FALSE
Aotus_nancymaae	23891171	autosomes	NA	23891171	FALSE
Aotus_nancymaae	26324796	autosomes	NA	26324796	FALSE
Aotus_nancymaae	26523795	autosomes	NA	26523795	FALSE
Aotus_nancymaae	26862536	autosomes	NA	26862536	FALSE
Aotus_nancymaae	27375194	autosomes	NA	27375194	FALSE
Aotus_nancymaae	29563260	autosomes	NA	29563260	FALSE
Aotus_nancymaae	31708673	autosomes	NA	31708673	FALSE
Aotus_nancymaae	31954281	autosomes	NA	31954281	FALSE
Aotus_nancymaae	32393046	autosomes	NA	32393046	FALSE
Aotus_nancymaae	33419410	autosomes	NA	33419410	FALSE
Aotus_nancymaae	33998975	autosomes	NA	33998975	FALSE
Aotus_nancymaae	35508488	autosomes	NA	35508488	FALSE
Aotus_nancymaae	39860678	autosomes	NA	39860678	FALSE
Aotus_nancymaae	40760286	autosomes	NA	40760286	FALSE
Aotus_nancymaae	40855216	autosomes	NA	40855216	FALSE
Aotus_nancymaae	41492595	autosomes	NA	41492595	FALSE
Aotus_nancymaae	44547664	autosomes	NA	44547664	FALSE
Aotus_nancymaae	45790532	autosomes	NA	45790532	FALSE
Aotus_nancymaae	46174658	autosomes	NA	46174658	FALSE
Aotus_nancymaae	49088251	autosomes	NA	49088251	FALSE
Aotus_nancymaae	50846664	autosomes	NA	50846664	FALSE
Aotus_nancymaae	55915596	chrX	NA	55915596	FALSE
Aotus_nancymaae	61905732	autosomes	NA	61905732	FALSE
Aotus_nancymaae	65377962	autosomes	NA	65377962	FALSE
Aotus_nancymaae	65730980	autosomes	NA	65730980	FALSE
Aotus_nancymaae	66603118	autosomes	NA	66603118	FALSE
Aotus_nancymaae	66750848	autosomes	NA	66750848	FALSE
Aotus_nancymaae	70558208	chrX	NA	70558208	FALSE
Aotus_nancymaae	72142404	autosomes	NA	72142404	FALSE
Aotus_nancymaae	73042074	autosomes	NA	73042074	FALSE
Aotus_nancymaae	77817948	autosomes	NA	77817948	FALSE
Aotus_nancymaae	78184572	autosomes	NA	78184572	FALSE
Aotus_nancymaae	80196246	autosomes	NA	80196246	FALSE
Aotus_nancymaae	84517782	autosomes	NA	84517782	FALSE
Aotus_nancymaae	89234750	autosomes	NA	89234750	FALSE
Aotus_nancymaae	94861459	autosomes	NA	94861459	FALSE
Aotus_nancymaae	95473994	autosomes	NA	95473994	FALSE
Aotus_nancymaae	102314877	autosomes	NA	102314877	FALSE
Aotus_nancymaae	125204126	autosomes	NA	125204126	FALSE
Aotus_nancymaae	131195652	autosomes	NA	131195652	FALSE
Ateles_hybridus	1e+06	autosomes	NA	39003866	TRUE
Ateles_hybridus	1098647	autosomes	NA	1098647	FALSE
Ateles_hybridus	1137189	autosomes	NA	1137189	FALSE
Ateles_hybridus	1149860	autosomes	NA	1149860	FALSE
Ateles_hybridus	1195004	autosomes	NA	1195004	FALSE
Ateles_hybridus	1220202	autosomes	NA	1220202	FALSE
Ateles_hybridus	1261015	autosomes	NA	1261015	FALSE
Ateles_hybridus	1314036	autosomes	NA	1314036	FALSE
Ateles_hybridus	1488851	autosomes	NA	1488851	FALSE
Ateles_hybridus	1521780	autosomes	NA	1521780	FALSE
Ateles_hybridus	1523531	autosomes	NA	1523531	FALSE
Ateles_hybridus	1877146	autosomes	NA	1877146	FALSE
Ateles_hybridus	1906280	autosomes	NA	1906280	FALSE
Ateles_hybridus	1908560	autosomes	NA	1908560	FALSE
Ateles_hybridus	2213329	autosomes	NA	2213329	FALSE
Ateles_hybridus	2246243	autosomes	NA	2246243	FALSE
Ateles_hybridus	2409503	chrX	NA	2409503	FALSE
Ateles_hybridus	2452842	autosomes	NA	2452842	FALSE
Ateles_hybridus	2994224	autosomes	NA	2994224	FALSE
Ateles_hybridus	3088293	autosomes	NA	3088293	FALSE
Ateles_hybridus	3265268	autosomes	NA	3265268	FALSE
Ateles_hybridus	3382670	autosomes	NA	3382670	FALSE
Ateles_hybridus	3793555	autosomes	NA	3793555	FALSE
Ateles_hybridus	3947383	autosomes	NA	3947383	FALSE
Ateles_hybridus	4972190	chrX	NA	4972190	FALSE
Ateles_hybridus	5232489	autosomes	NA	5232489	FALSE
Ateles_hybridus	5419472	autosomes	NA	5419472	FALSE
Ateles_hybridus	5547964	autosomes	NA	5547964	FALSE
Ateles_hybridus	6035878	autosomes	NA	6035878	FALSE
Ateles_hybridus	6351841	autosomes	NA	6351841	FALSE
Ateles_hybridus	7027899	autosomes	NA	7027899	FALSE
Ateles_hybridus	7123473	autosomes	NA	7123473	FALSE
Ateles_hybridus	7941152	autosomes	NA	7941152	FALSE
Ateles_hybridus	8415134	autosomes	NA	8415134	FALSE
Ateles_hybridus	8582694	autosomes	NA	8582694	FALSE
Ateles_hybridus	8874248	autosomes	NA	8874248	FALSE
Ateles_hybridus	9292285	chrX	NA	9292285	FALSE
Ateles_hybridus	9512019	autosomes	NA	9512019	FALSE
Ateles_hybridus	9717303	autosomes	NA	9717303	FALSE
Ateles_hybridus	10625175	autosomes	NA	10625175	FALSE
Ateles_hybridus	10884979	autosomes	NA	10884979	FALSE
Ateles_hybridus	11721534	autosomes	NA	11721534	FALSE
Ateles_hybridus	11887735	autosomes	NA	11887735	FALSE
Ateles_hybridus	14606391	autosomes	NA	14606391	FALSE
Ateles_hybridus	15569212	autosomes	NA	15569212	FALSE
Ateles_hybridus	16051608	autosomes	NA	16051608	FALSE
Ateles_hybridus	16264905	autosomes	NA	16264905	FALSE
Ateles_hybridus	16633331	autosomes	NA	16633331	FALSE
Ateles_hybridus	17732006	autosomes	NA	17732006	FALSE
Ateles_hybridus	18502635	autosomes	NA	18502635	FALSE
Ateles_hybridus	19307200	chrX	NA	19307200	FALSE
Ateles_hybridus	19521144	autosomes	NA	19521144	FALSE
Ateles_hybridus	21071785	autosomes	NA	21071785	FALSE
Ateles_hybridus	21894808	autosomes	NA	21894808	FALSE
Ateles_hybridus	22660150	autosomes	NA	22660150	FALSE
Ateles_hybridus	22820551	autosomes	NA	22820551	FALSE
Ateles_hybridus	24377081	chrX	NA	24377081	FALSE
Ateles_hybridus	25312360	autosomes	NA	25312360	FALSE
Ateles_hybridus	27063659	autosomes	NA	27063659	FALSE
Ateles_hybridus	27113617	autosomes	NA	27113617	FALSE
Ateles_hybridus	27551744	autosomes	NA	27551744	FALSE
Ateles_hybridus	27573259	autosomes	NA	27573259	FALSE
Ateles_hybridus	27751378	chrX	NA	27751378	FALSE
Ateles_hybridus	29448242	autosomes	NA	29448242	FALSE
Ateles_hybridus	30203512	autosomes	NA	30203512	FALSE
Ateles_hybridus	30536374	autosomes	NA	30536374	FALSE
Ateles_hybridus	30543426	autosomes	NA	30543426	FALSE
Ateles_hybridus	32647613	autosomes	NA	32647613	FALSE
Ateles_hybridus	32738878	autosomes	NA	32738878	FALSE
Ateles_hybridus	34383076	autosomes	NA	34383076	FALSE
Ateles_hybridus	35516260	autosomes	NA	35516260	FALSE
Ateles_hybridus	37813414	autosomes	NA	37813414	FALSE
Ateles_hybridus	38225486	autosomes	NA	38225486	FALSE
Ateles_hybridus	38623781	autosomes	NA	38623781	FALSE
Ateles_hybridus	38943609	autosomes	NA	38943609	FALSE
Ateles_hybridus	40528691	autosomes	NA	40528691	FALSE
Ateles_hybridus	43405198	autosomes	NA	43405198	FALSE
Ateles_hybridus	45573017	autosomes	NA	45573017	FALSE
Ateles_hybridus	46747991	autosomes	NA	46747991	FALSE
Ateles_hybridus	49310784	chrX	NA	49310784	FALSE
Ateles_hybridus	50515269	autosomes	NA	50515269	FALSE
Ateles_hybridus	57263988	autosomes	NA	57263988	FALSE
Ateles_hybridus	57716822	autosomes	NA	57716822	FALSE
Ateles_hybridus	60266095	autosomes	NA	60266095	FALSE
Ateles_hybridus	66048981	autosomes	NA	66048981	FALSE
Ateles_hybridus	68477599	autosomes	NA	68477599	FALSE
Ateles_hybridus	73401021	autosomes	NA	73401021	FALSE
Ateles_hybridus	77533877	autosomes	NA	77533877	FALSE
Ateles_hybridus	78585041	autosomes	NA	78585041	FALSE
Ateles_hybridus	82799930	autosomes	NA	82799930	FALSE
Ateles_hybridus	86197016	autosomes	NA	86197016	FALSE
Ateles_hybridus	88695502	autosomes	NA	88695502	FALSE
Ateles_hybridus	106795882	autosomes	NA	106795882	FALSE
Ateles_hybridus	111011744	autosomes	NA	111011744	FALSE
Ateles_hybridus	127852156	autosomes	NA	127852156	FALSE
Ateles_hybridus	142887817	autosomes	NA	142887817	FALSE
Callimico_goeldii	1e+06	autosomes	NA	267918863	TRUE
Callimico_goeldii	39326625	autosomes	NA	39326625	FALSE
Callimico_goeldii	43465754	autosomes	NA	43465754	FALSE
Callimico_goeldii	44928898	autosomes	NA	44928898	FALSE
Callimico_goeldii	51806703	autosomes	NA	51806703	FALSE
Callimico_goeldii	53003200	autosomes	NA	53003200	FALSE
Callimico_goeldii	69577595	autosomes	NA	69577595	FALSE
Callimico_goeldii	85679369	autosomes	NA	85679369	FALSE
Callimico_goeldii	89449293	autosomes	NA	89449293	FALSE
Callimico_goeldii	104963165	autosomes	NA	104963165	FALSE
Callimico_goeldii	106813901	autosomes	NA	106813901	FALSE
Callimico_goeldii	106860925	autosomes	NA	106860925	FALSE
Callimico_goeldii	108603770	autosomes	NA	108603770	FALSE
Callimico_goeldii	111553634	autosomes	NA	111553634	FALSE
Callimico_goeldii	114148922	autosomes	NA	114148922	FALSE
Callimico_goeldii	116042380	autosomes	NA	116042380	FALSE
Callimico_goeldii	117243986	autosomes	NA	117243986	FALSE
Callimico_goeldii	119645366	autosomes	NA	119645366	FALSE
Callimico_goeldii	120269719	autosomes	NA	120269719	FALSE
Callimico_goeldii	126041756	chrX	NA	126041756	FALSE
Callimico_goeldii	128169202	autosomes	NA	128169202	FALSE
Callimico_goeldii	133562787	autosomes	NA	133562787	FALSE
Callimico_goeldii	140257076	autosomes	NA	140257076	FALSE
Callimico_goeldii	149921261	autosomes	NA	149921261	FALSE
Callimico_goeldii	167430575	autosomes	NA	167430575	FALSE
Callithrix_jacchus	1e+06	autosomes	NA	60671861	TRUE
Callithrix_jacchus	1e+06	chrX	chrX	497538	TRUE
Callithrix_jacchus	1e+06	chrY	chrY	6768351	TRUE
Callithrix_jacchus	1024496	chrY	chrY	1024496	FALSE
Callithrix_jacchus	1080123	chrY	chrY	1080123	FALSE
Callithrix_jacchus	4974773	chrY	chrY	4974773	FALSE
Callithrix_jacchus	44412365	autosomes	NA	44412365	FALSE
Callithrix_jacchus	47063576	autosomes	NA	47063576	FALSE
Callithrix_jacchus	49900457	autosomes	NA	49900457	FALSE
Callithrix_jacchus	50540917	autosomes	NA	50540917	FALSE
Callithrix_jacchus	50614742	autosomes	NA	50614742	FALSE
Callithrix_jacchus	74700100	autosomes	NA	74700100	FALSE
Callithrix_jacchus	98110366	autosomes	NA	98110366	FALSE
Callithrix_jacchus	98621277	autosomes	NA	98621277	FALSE
Callithrix_jacchus	112969529	autosomes	NA	112969529	FALSE
Callithrix_jacchus	117638787	autosomes	NA	117638787	FALSE
Callithrix_jacchus	123697827	autosomes	NA	123697827	FALSE
Callithrix_jacchus	126104592	autosomes	NA	126104592	FALSE
Callithrix_jacchus	128529401	autosomes	NA	128529401	FALSE
Callithrix_jacchus	132900640	autosomes	NA	132900640	FALSE
Callithrix_jacchus	136971485	autosomes	NA	136971485	FALSE
Callithrix_jacchus	146897247	chrX	chrX	146897247	FALSE
Callithrix_jacchus	156129252	autosomes	NA	156129252	FALSE
Callithrix_jacchus	159674559	autosomes	NA	159674559	FALSE
Callithrix_jacchus	161716902	autosomes	NA	161716902	FALSE
Callithrix_jacchus	173414057	autosomes	NA	173414057	FALSE
Callithrix_jacchus	189455076	autosomes	NA	189455076	FALSE
Callithrix_jacchus	202808461	autosomes	NA	202808461	FALSE
Callithrix_jacchus	216975769	autosomes	NA	216975769	FALSE
Cephalopachus_bancanus	1e+06	autosomes	NA	470777361	TRUE
Cephalopachus_bancanus	1000242	autosomes	NA	1000242	FALSE
Cephalopachus_bancanus	1004276	autosomes	NA	1004276	FALSE
Cephalopachus_bancanus	1006157	autosomes	NA	1006157	FALSE
Cephalopachus_bancanus	1006992	autosomes	NA	1006992	FALSE
Cephalopachus_bancanus	1032276	autosomes	NA	1032276	FALSE
Cephalopachus_bancanus	1034209	autosomes	NA	1034209	FALSE
Cephalopachus_bancanus	1037026	autosomes	NA	1037026	FALSE
Cephalopachus_bancanus	1039390	autosomes	NA	1039390	FALSE
Cephalopachus_bancanus	1041394	autosomes	NA	1041394	FALSE
Cephalopachus_bancanus	1045211	autosomes	NA	1045211	FALSE
Cephalopachus_bancanus	1045249	autosomes	NA	1045249	FALSE
Cephalopachus_bancanus	1046973	autosomes	NA	1046973	FALSE
Cephalopachus_bancanus	1052758	autosomes	NA	1052758	FALSE
Cephalopachus_bancanus	1054185	autosomes	NA	1054185	FALSE
Cephalopachus_bancanus	1056293	autosomes	NA	1056293	FALSE
Cephalopachus_bancanus	1056527	autosomes	NA	1056527	FALSE
Cephalopachus_bancanus	1057300	autosomes	NA	1057300	FALSE
Cephalopachus_bancanus	1059347	autosomes	NA	1059347	FALSE
Cephalopachus_bancanus	1060515	autosomes	NA	1060515	FALSE
Cephalopachus_bancanus	1063567	autosomes	NA	1063567	FALSE
Cephalopachus_bancanus	1068138	autosomes	NA	1068138	FALSE
Cephalopachus_bancanus	1068804	autosomes	NA	1068804	FALSE
Cephalopachus_bancanus	1069470	autosomes	NA	1069470	FALSE
Cephalopachus_bancanus	1070892	autosomes	NA	1070892	FALSE
Cephalopachus_bancanus	1072016	autosomes	NA	1072016	FALSE
Cephalopachus_bancanus	1073837	autosomes	NA	1073837	FALSE
Cephalopachus_bancanus	1077313	autosomes	NA	1077313	FALSE
Cephalopachus_bancanus	1079082	autosomes	NA	1079082	FALSE
Cephalopachus_bancanus	1081500	autosomes	NA	1081500	FALSE
Cephalopachus_bancanus	1083999	autosomes	NA	1083999	FALSE
Cephalopachus_bancanus	1088310	autosomes	NA	1088310	FALSE
Cephalopachus_bancanus	1090169	autosomes	NA	1090169	FALSE
Cephalopachus_bancanus	1096641	autosomes	NA	1096641	FALSE
Cephalopachus_bancanus	1103501	autosomes	NA	1103501	FALSE
Cephalopachus_bancanus	1107024	autosomes	NA	1107024	FALSE
Cephalopachus_bancanus	1114493	autosomes	NA	1114493	FALSE
Cephalopachus_bancanus	1115556	autosomes	NA	1115556	FALSE
Cephalopachus_bancanus	1121613	autosomes	NA	1121613	FALSE
Cephalopachus_bancanus	1131914	autosomes	NA	1131914	FALSE
Cephalopachus_bancanus	1134246	autosomes	NA	1134246	FALSE
Cephalopachus_bancanus	1135019	autosomes	NA	1135019	FALSE
Cephalopachus_bancanus	1135373	autosomes	NA	1135373	FALSE
Cephalopachus_bancanus	1140294	autosomes	NA	1140294	FALSE
Cephalopachus_bancanus	1141297	autosomes	NA	1141297	FALSE
Cephalopachus_bancanus	1145554	autosomes	NA	1145554	FALSE
Cephalopachus_bancanus	1160903	autosomes	NA	1160903	FALSE
Cephalopachus_bancanus	1164035	autosomes	NA	1164035	FALSE
Cephalopachus_bancanus	1165027	autosomes	NA	1165027	FALSE
Cephalopachus_bancanus	1165337	autosomes	NA	1165337	FALSE
Cephalopachus_bancanus	1167110	autosomes	NA	1167110	FALSE
Cephalopachus_bancanus	1170816	autosomes	NA	1170816	FALSE
Cephalopachus_bancanus	1176363	autosomes	NA	1176363	FALSE
Cephalopachus_bancanus	1183725	autosomes	NA	1183725	FALSE
Cephalopachus_bancanus	1184456	autosomes	NA	1184456	FALSE
Cephalopachus_bancanus	1190330	autosomes	NA	1190330	FALSE
Cephalopachus_bancanus	1191490	autosomes	NA	1191490	FALSE
Cephalopachus_bancanus	1207179	autosomes	NA	1207179	FALSE
Cephalopachus_bancanus	1212013	autosomes	NA	1212013	FALSE
Cephalopachus_bancanus	1219479	autosomes	NA	1219479	FALSE
Cephalopachus_bancanus	1221840	autosomes	NA	1221840	FALSE
Cephalopachus_bancanus	1223869	autosomes	NA	1223869	FALSE
Cephalopachus_bancanus	1236527	autosomes	NA	1236527	FALSE
Cephalopachus_bancanus	1239646	autosomes	NA	1239646	FALSE
Cephalopachus_bancanus	1241417	autosomes	NA	1241417	FALSE
Cephalopachus_bancanus	1243100	autosomes	NA	1243100	FALSE
Cephalopachus_bancanus	1246632	autosomes	NA	1246632	FALSE
Cephalopachus_bancanus	1254499	autosomes	NA	1254499	FALSE
Cephalopachus_bancanus	1254998	autosomes	NA	1254998	FALSE
Cephalopachus_bancanus	1256186	autosomes	NA	1256186	FALSE
Cephalopachus_bancanus	1256247	autosomes	NA	1256247	FALSE
Cephalopachus_bancanus	1256664	autosomes	NA	1256664	FALSE
Cephalopachus_bancanus	1258275	autosomes	NA	1258275	FALSE
Cephalopachus_bancanus	1265595	autosomes	NA	1265595	FALSE
Cephalopachus_bancanus	1267897	autosomes	NA	1267897	FALSE
Cephalopachus_bancanus	1269746	autosomes	NA	1269746	FALSE
Cephalopachus_bancanus	1270800	autosomes	NA	1270800	FALSE
Cephalopachus_bancanus	1271319	autosomes	NA	1271319	FALSE
Cephalopachus_bancanus	1273245	autosomes	NA	1273245	FALSE
Cephalopachus_bancanus	1278945	autosomes	NA	1278945	FALSE
Cephalopachus_bancanus	1279727	autosomes	NA	1279727	FALSE
Cephalopachus_bancanus	1279903	autosomes	NA	1279903	FALSE
Cephalopachus_bancanus	1283869	autosomes	NA	1283869	FALSE
Cephalopachus_bancanus	1288918	autosomes	NA	1288918	FALSE
Cephalopachus_bancanus	1294943	autosomes	NA	1294943	FALSE
Cephalopachus_bancanus	1297670	autosomes	NA	1297670	FALSE
Cephalopachus_bancanus	1302430	autosomes	NA	1302430	FALSE
Cephalopachus_bancanus	1308090	autosomes	NA	1308090	FALSE
Cephalopachus_bancanus	1310942	autosomes	NA	1310942	FALSE
Cephalopachus_bancanus	1311423	autosomes	NA	1311423	FALSE
Cephalopachus_bancanus	1313859	autosomes	NA	1313859	FALSE
Cephalopachus_bancanus	1340185	autosomes	NA	1340185	FALSE
Cephalopachus_bancanus	1348633	autosomes	NA	1348633	FALSE
Cephalopachus_bancanus	1349996	autosomes	NA	1349996	FALSE
Cephalopachus_bancanus	1361465	autosomes	NA	1361465	FALSE
Cephalopachus_bancanus	1373871	autosomes	NA	1373871	FALSE
Cephalopachus_bancanus	1377413	autosomes	NA	1377413	FALSE
Cephalopachus_bancanus	1391337	autosomes	NA	1391337	FALSE
Cephalopachus_bancanus	1392069	autosomes	NA	1392069	FALSE
Cephalopachus_bancanus	1394450	autosomes	NA	1394450	FALSE
Cephalopachus_bancanus	1401457	autosomes	NA	1401457	FALSE
Cephalopachus_bancanus	1403964	autosomes	NA	1403964	FALSE
Cephalopachus_bancanus	1417589	autosomes	NA	1417589	FALSE
Cephalopachus_bancanus	1418365	autosomes	NA	1418365	FALSE
Cephalopachus_bancanus	1423436	autosomes	NA	1423436	FALSE
Cephalopachus_bancanus	1429343	autosomes	NA	1429343	FALSE
Cephalopachus_bancanus	1440138	autosomes	NA	1440138	FALSE
Cephalopachus_bancanus	1461606	autosomes	NA	1461606	FALSE
Cephalopachus_bancanus	1463298	autosomes	NA	1463298	FALSE
Cephalopachus_bancanus	1476245	autosomes	NA	1476245	FALSE
Cephalopachus_bancanus	1485518	autosomes	NA	1485518	FALSE
Cephalopachus_bancanus	1487133	autosomes	NA	1487133	FALSE
Cephalopachus_bancanus	1489804	autosomes	NA	1489804	FALSE
