ID	ID_PGDP	group	family	genus	species	subspecies	species_full	species_short	species_genotyping	reference	SEX	len_chrA	len_chrA_contigs_shorter_than_1Mb	len_chrX	len_chrX_contigs_shorter_than_1Mb	len_chrY	len_chrY_contigs_shorter_than_1Mb	total_seq_chrA	total_seq_chrX	total_seq_chrY	len_cov_chrA	len_cov_chrX	len_cov_chrY	frac_cov_chrA	frac_cov_chrX	frac_cov_chrY	frac_cov_gw	rel_frac_cov_YX	nonN_frac	frac_cov_gw_cor	threshold	threshold_chrX	good_frac_cov	cov_chrA	cov_chrX	cov_chrY	cov_gw	rel_cov_chrX	gSEX	gSEX_source	callable_chrA	callable_chrX	GT00_chrA	GT01_chrA	GT11_chrA	GTmis_chrA	GT00_chrX	GT0_chrX	GT01_chrX	GT11_chrX	GT1_chrX	GTmis_chrX	het_chrA	het_chrX	rel_chrX_het	hom_alt_chrA	hom_alt_chrX	hem_alt_chrX	rel_chrX_hom_alt	mis_chrA	mis_chrX	div_chrA	clade	subclade_split	sample_used_for_q	q25_div_chrA	q50_div_chrA	q75_div_chrA	q25_frac_cov_chrA	q50_frac_cov_chrA	q75_frac_cov_chrA	zscore_div_chrA	zscore_frac_cov_chrA	dupl_group	remove_as_duplicate	low_mis	low_frac_cov_qc	high_div_chrA_qc	high_mis_qc	low_div_chrA_qc	masterQC	manual_fix	reason	finalQC	Kuderna_AB_QC	Kuderna_COV_QC	relatives	remove_as_relative	generation	founder	remove_manual	pedigree_source	MQ1kb	MQ1Mb	total_reads	mapped_reads	properly_paired_reads	f_mapped_reads
PD_0809	PD_0809	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	117178685178	2993486200	NA	2706898879	137979012	NA	0.964	0.9815	NA	0.9648	NA	1	0.9648	0.9	0.9	TRUE	43.2889	21.6952	NA	42.2416	0.5012	M	chrX	2411071476	128526677	7822632	1768725	16957073	355720	NA	218932	NA	NA	742034	4433	0.0007336	NA	NA	0.007033	NA	0.0057734	NA	0.0001475	3.45e-05	0.0073998	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.5023	0.0055	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	PD_0813	FALSE	NA	NA	NA	NA	49.6937	52.0661	875550020	859130670	820218830	0.981
PD_0810	PD_0810	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	107831668552	5222455047	NA	2708709627	138062743	NA	0.9646	0.9821	NA	0.9654	NA	1	0.9654	0.9	0.9	TRUE	39.8092	37.8267	NA	39.7131	0.9502	F	chrX	2411071476	128526677	7732648	1956770	16846465	368267	197522	NA	34139	720570	NA	13168	0.0008116	0.0002656	0.3272863	0.0069871	0.0056064	NA	0.8023876	0.0001527	0.0001025	0.0073929	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-0.0034	0.0712	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.6818	52.0555	828916064	812407564	774274302	0.98
PD_0811	PD_0811	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	106775555480	5129182495	NA	2676759020	137883399	NA	0.9532	0.9808	NA	0.9545	NA	1	0.9545	0.9	0.9	TRUE	39.8899	37.1994	NA	39.7581	0.9326	F	chrX	2411071476	128526677	7861682	1701672	16987997	352799	196350	NA	36713	719143	NA	13193	0.0007058	0.0002856	0.4047257	0.0070458	0.0055953	NA	0.7941269	0.0001463	0.0001026	0.0073987	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.4229	-1.1781	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	50.2331	52.6303	788553480	772764708	742685648	0.98
PD_0812	PD_0812	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	111563090547	2972063213	NA	2682882307	137823821	NA	0.9554	0.9804	NA	0.9566	NA	1	0.9566	0.9	0.9	TRUE	41.5833	21.5642	NA	40.6051	0.5186	M	chrX	2411071476	128526677	7780482	1834547	16935664	353457	NA	218516	NA	NA	742481	4402	0.0007609	NA	NA	0.0070241	NA	0.0057769	NA	0.0001466	3.42e-05	0.0074046	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.853	-0.937	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	50.0392	52.4278	809050260	792457106	759129120	0.979
PD_0813	PD_0813	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	100332923913	2690537930	NA	2678158512	137715224	NA	0.9537	0.9796	NA	0.955	NA	1	0.955	0.9	0.9	TRUE	37.4634	19.537	NA	36.5867	0.5215	M	chrX	2411071476	128526677	7600446	2177108	16744348	382248	NA	219314	NA	NA	741259	4826	0.000903	NA	NA	0.0069448	NA	0.0057674	NA	0.0001585	3.75e-05	0.0073963	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.2421	-1.1233	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	PD_0809;PD_0815	TRUE	NA	NA	NA	NA	50.185	52.5814	727940356	712863516	685267712	0.979
PD_0814	PD_0814	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	104386303073	5100056176	NA	2681235303	137894997	NA	0.9548	0.9809	NA	0.9561	NA	1	0.9561	0.9	0.9	TRUE	38.9322	36.9851	NA	38.8369	0.95	F	chrX	2411071476	128526677	7709562	2018782	16815110	360696	195096	NA	38638	718328	NA	13337	0.0008373	0.0003006	0.3590393	0.0069741	0.0055889	NA	0.8013826	0.0001496	0.0001038	0.0073928	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-0.014	-1.0027	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	50.0637	52.4541	772750642	757149067	726115916	0.98
PD_0815	PD_0815	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	107605874700	2916489647	NA	2682914021	137852727	NA	0.9554	0.9806	NA	0.9566	NA	1	0.9566	0.9	0.9	TRUE	40.1078	21.1566	NA	39.1817	0.5275	M	chrX	2411071476	128526677	7814946	1814690	16915482	359032	NA	218747	NA	NA	742122	4530	0.0007526	NA	NA	0.0070158	NA	0.0057741	NA	0.0001489	3.52e-05	0.0073921	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-0.0651	-0.937	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	PD_0813	FALSE	NA	NA	NA	NA	49.9267	52.3131	783997134	768002518	732597276	0.98
PD_0802	PD_0802	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_griseimembra_ssp	A.griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	116075748130	3242048411	NA	2667014022	137960541	NA	0.9498	0.9814	NA	0.9513	NA	1	0.9513	0.9	0.9	TRUE	43.5227	23.4998	NA	42.5379	0.5399	M	chrX	2389705574	126475743	3076742	3814662	19469675	375482	NA	143330	NA	NA	927910	3959	0.0015963	NA	NA	0.0081473	NA	0.0073367	NA	0.0001571	3.13e-05	0.0089455	Aotus_nancymaae_ssp5	0	TRUE	0.0089402	0.0089439	0.0089461	0.9489	0.9503	0.951	0.2687	-0.2439	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.2779	51.6212	848894442	829326214	783071864	0.977
PD_0803	PD_0803	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_griseimembra_ssp	A.griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	123783442601	3455522035	NA	2671505475	138038201	NA	0.9514	0.9819	NA	0.9528	NA	1	0.9528	0.9	0.9	TRUE	46.3347	25.0331	NA	45.2881	0.5403	M	chrX	2389705574	126475743	3169137	3649326	19558271	359827	NA	143299	NA	NA	928455	3445	0.0015271	NA	NA	0.0081844	NA	0.007341	NA	0.0001506	2.72e-05	0.0089479	Aotus_nancymaae_ssp5	0	TRUE	0.0089402	0.0089439	0.0089461	0.9489	0.9503	0.951	0.6898	0.5366	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.3085	51.655	904067962	883716458	836195722	0.977
PD_0804	PD_0804	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_griseimembra_ssp	A.griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	112001954977	3108960721	NA	2669939606	137966978	NA	0.9508	0.9814	NA	0.9523	NA	1	0.9523	0.9	0.9	TRUE	41.9492	22.5341	NA	40.9953	0.5372	M	chrX	2389705574	126475743	2806134	4334271	19202308	393848	NA	143397	NA	NA	927882	3920	0.0018137	NA	NA	0.0080354	NA	0.0073364	NA	0.0001648	3.1e-05	0.0089423	Aotus_nancymaae_ssp5	0	TRUE	0.0089402	0.0089439	0.0089461	0.9489	0.9503	0.951	-0.2687	0.2439	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	PD_0805	FALSE	NA	NA	NA	NA	49.2878	51.6339	819671786	800161206	754305800	0.976
PD_0805	PD_0805	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_griseimembra_ssp	A.griseimembra_ssp	Aotus_griseimembra_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	85553354470	2379054627	NA	2657078076	137849746	NA	0.9462	0.9806	NA	0.9479	NA	1	0.9479	0.9	0.9	TRUE	32.1983	17.2583	NA	31.4614	0.536	M	chrX	2389705574	126475743	2944926	4037253	19330697	423685	NA	142729	NA	NA	926878	5592	0.0016894	NA	NA	0.0080892	NA	0.0073285	NA	0.0001773	4.42e-05	0.0089339	Aotus_nancymaae_ssp5	0	TRUE	0.0089402	0.0089439	0.0089461	0.9489	0.9503	0.951	-1.6982	-2	NA	FALSE	TRUE	warn	ok	ok	ok	warn	NA	NA	warn	NA	NA	PD_0804	TRUE	NA	NA	NA	NA	49.2452	51.5881	626752424	611238237	577044832	0.975
SAMN03121886	SAMN03121886	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	A.nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	401048730135	20737441599	NA	2802451556	140479224	NA	0.998	0.9993	NA	0.998	NA	1	0.998	0.9	0.9	TRUE	143.1064	147.6193	NA	143.3218	1.0315	F	chrX	2469212202	132290109	27679753	11517870	4824683	2714740	794079	NA	366177	140688	NA	81836	0.0046646	0.002768	0.5934033	0.0019539	0.0010635	NA	0.5442762	0.0010994	0.0006186	0.0042862	Aotus_nancymaae_ssp1	0	TRUE	0.0043436	0.0044619	0.0045022	0.9902	0.9914	0.9926	-1.1074	2.6939	SAMN08978223	TRUE	TRUE	ok	ok	ok	ok	ok	NA	NA	fail	NA	NA	NA	NA	NA	NA	NA	NA	49.6341	51.9931	5008440346	4938941546	3347975522	0.986
SAMN08978223	SAMN08978223	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	A.nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	106252199486	5425101241	NA	2785563044	140361379	NA	0.992	0.9985	NA	0.9923	NA	1	0.9923	0.9	0.9	TRUE	38.1439	38.651	NA	38.1682	1.0133	F	chrX	2469212202	132290109	29448878	11584698	4846095	857375	849910	NA	368354	141391	NA	23125	0.0046917	0.0027844	0.5934877	0.0019626	0.0010688	NA	0.544579	0.0003472	0.0001748	0.0043084	Aotus_nancymaae_ssp1	0	TRUE	0.0043436	0.0044619	0.0045022	0.9902	0.9914	0.9926	-0.9674	0.2449	SAMN08978223	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	SAMN08978226;SAMN08978231;SAMN08978236;SAMN08978241	TRUE	P	TRUE	NA	30270182	50.6973	53.0578	839534702	805903329	784115400	0.96
SAMN08978224	SAMN08978224	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	A.nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	103956958248	2702230798	NA	2783684147	139834848	NA	0.9913	0.9947	NA	0.9915	NA	1	0.9915	0.9	0.9	TRUE	37.3451	19.3244	NA	36.4832	0.5175	M	chrX	2469212202	132290109	28921507	11149780	5689965	975794	NA	1014069	NA	NA	354040	14671	0.0045155	NA	NA	0.0023044	NA	0.0026762	NA	0.0003952	0.0001109	0.0045621	Aotus_nancymaae_ssp1	0	TRUE	0.0043436	0.0044619	0.0045022	0.9902	0.9914	0.9926	0.6323	-0.0408	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	SAMN08978226;SAMN08978241	FALSE	P	TRUE	NA	30270182	50.5549	52.9259	804528490	774817775	753422210	0.963
SAMN08978225	SAMN08978225	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	A.nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	103240606874	5173663883	NA	2779678889	140184056	NA	0.9899	0.9972	NA	0.9902	NA	1	0.9902	0.9	0.9	TRUE	37.1412	36.9062	NA	37.1299	0.9937	F	chrX	2469212202	132290109	29043187	11375145	5362023	956691	862296	NA	239188	253536	NA	27760	0.0046068	0.0018081	0.3924763	0.0021716	0.0019165	NA	0.8825555	0.0003874	0.0002098	0.0044749	Aotus_nancymaae_ssp1	0	TRUE	0.0043436	0.0044619	0.0045022	0.9902	0.9914	0.9926	0.0826	-0.6122	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	SAMN08978227;SAMN08978228;SAMN08978243	TRUE	F1P	TRUE	NA	30270182	50.6117	52.9803	810978242	786107636	764667050	0.969
SAMN08978226	SAMN08978226	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	A.nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	101273660695	2633234944	NA	2786557925	140112321	NA	0.9923	0.9967	NA	0.9925	NA	1	0.9925	0.9	0.9	TRUE	36.3436	18.7937	NA	35.5035	0.5171	M	chrX	2469212202	132290109	28977625	11504221	5301181	954019	NA	1055229	NA	NA	316988	10563	0.0046591	NA	NA	0.0021469	NA	0.0023962	NA	0.0003864	7.98e-05	0.0044764	Aotus_nancymaae_ssp1	0	TRUE	0.0043436	0.0044619	0.0045022	0.9902	0.9914	0.9926	0.092	0.3673	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	SAMN08978223;SAMN08978224;SAMN08978227;SAMN08978228;SAMN08978241	TRUE	F1F	FALSE	NA	30270182	50.5664	52.9296	786413272	753581726	733260980	0.958
SAMN08978227	SAMN08978227	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	A.nancymaae_ssp	Aotus_nancymaae_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	105655965105	2736113406	NA	2780756113	139867530	NA	0.9903	0.995	NA	0.9905	NA	1	0.9905	0.9	0.9	TRUE	37.9954	19.5622	NA	37.1126	0.5149	M	chrX	2469212202	132290109	29229258	11221266	5362200	924322	NA	1000105	NA	NA	369504	13171	0.0045445	NA	NA	0.0021716	NA	0.0027931	NA	0.0003743	9.96e-05	0.0044439	Aotus_nancymaae_ssp1	0	TRUE	0.0043436	0.0044619	0.0045022	0.9902	0.9914	0.9926	-0.1134	-0.449	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	SAMN08978225;SAMN08978226;SAMN08978228	FALSE	F2	FALSE	NA	30270182	50.5918	52.9535	815525534	787688605	766699802	0.966
