,Sample,BIOSAMPLE_ID,Species,Chrom_Type,Genetic_sex,family,Het_Count,Callable_Length,Genus,Het_per_bp
1910,SAMN08978247,SAMN08978247,Aotus_nancymaae_ssp,A,F,Aotidae,357015499,76653339997,Aotus,0.0046575335010056
1895,SAMN08978236,SAMN08978236,Aotus_nancymaae_ssp,A,F,Aotidae,360404140,76653339997,Aotus,0.004701740850615319
1912,SAMN08978248,SAMN08978248,Aotus_nancymaae_ssp,A,F,Aotidae,352506270,76653339997,Aotus,0.004598707245030629
1909,SAMN08978246,SAMN08978246,Aotus_nancymaae_ssp,A,M,Aotidae,361618472,76653339997,Aotus,0.004717582717389128
1896,SAMN08978236,SAMN08978236,Aotus_nancymaae_ssp,X,F,Aotidae,10916712,3990234781,Aotus,0.002735857060837945
1696,SAMN03121886,SAMN03121886,Aotus_nancymaae_ssp,X,F,Aotidae,10952486,3990234781,Aotus,0.0027448224480804053
1898,SAMN08978238,SAMN08978238,Aotus_nancymaae_ssp,A,M,Aotidae,350583371,76653339997,Aotus,0.0045736215931846
1695,SAMN03121886,SAMN03121886,Aotus_nancymaae_ssp,A,F,Aotidae,357442152,76653339997,Aotus,0.0046630995076534084
1913,SAMN08978248,SAMN08978248,Aotus_nancymaae_ssp,X,F,Aotidae,11766236,3990234781,Aotus,0.002948757816463933
1899,SAMN08978239,SAMN08978239,Aotus_nancymaae_ssp,A,M,Aotidae,349757748,76653339997,Aotus,0.004562850725274183
1900,SAMN08978240,SAMN08978240,Aotus_nancymaae_ssp,A,M,Aotidae,360379185,76653339997,Aotus,0.004701415294025077
1901,SAMN08978241,SAMN08978241,Aotus_nancymaae_ssp,A,F,Aotidae,357270071,76653339997,Aotus,0.004660854582644182
1906,SAMN08978244,SAMN08978244,Aotus_nancymaae_ssp,A,M,Aotidae,352376225,76653339997,Aotus,0.004597010710998255
1905,SAMN08978243,SAMN08978243,Aotus_nancymaae_ssp,X,F,Aotidae,8605972,3990234781,Aotus,0.002156758304292872
1904,SAMN08978243,SAMN08978243,Aotus_nancymaae_ssp,A,F,Aotidae,348859523,76653339997,Aotus,0.004551132710116133
1897,SAMN08978237,SAMN08978237,Aotus_nancymaae_ssp,A,M,Aotidae,345987528,76653339997,Aotus,0.004513665392969712
1914,SAMN08978249,SAMN08978249,Aotus_nancymaae_ssp,A,M,Aotidae,362381444,76653339997,Aotus,0.004727536256269885
1889,SAMN08978232,SAMN08978232,Aotus_nancymaae_ssp,X,F,Aotidae,10227055,3990234781,Aotus,0.0025630208650121032
1891,SAMN08978233,SAMN08978233,Aotus_nancymaae_ssp,X,F,Aotidae,11293300,3990234781,Aotus,0.002830234464842634
1876,SAMN08978223,SAMN08978223,Aotus_nancymaae_ssp,A,F,Aotidae,359527305,76653339997,Aotus,0.004690301883963189
1877,SAMN08978223,SAMN08978223,Aotus_nancymaae_ssp,X,F,Aotidae,11002427,3990234781,Aotus,0.002757338252974343
1919,SAMN08978252,SAMN08978252,Aotus_nancymaae_ssp,X,F,Aotidae,10730712,3990234781,Aotus,0.0026892432623502813
1878,SAMN08978224,SAMN08978224,Aotus_nancymaae_ssp,A,M,Aotidae,345928845,76653339997,Aotus,0.004512899829459991
1879,SAMN08978225,SAMN08978225,Aotus_nancymaae_ssp,A,F,Aotidae,353043717,76653339997,Aotus,0.004605718642055482
1918,SAMN08978252,SAMN08978252,Aotus_nancymaae_ssp,A,F,Aotidae,353042446,76653339997,Aotus,0.004605702060912376
1880,SAMN08978225,SAMN08978225,Aotus_nancymaae_ssp,X,F,Aotidae,6990655,3990234781,Aotus,0.0017519407713267588
1881,SAMN08978226,SAMN08978226,Aotus_nancymaae_ssp,A,M,Aotidae,356908766,76653339997,Aotus,0.004656141089402868
1892,SAMN08978234,SAMN08978234,Aotus_nancymaae_ssp,A,M,Aotidae,348819254,76653339997,Aotus,0.004550607370972378
1916,SAMN08978250,SAMN08978250,Aotus_nancymaae_ssp,X,F,Aotidae,11567619,3990234781,Aotus,0.002898982048645523
1917,SAMN08978251,SAMN08978251,Aotus_nancymaae_ssp,A,M,Aotidae,343885914,76653339997,Aotus,0.00448624827063581
1882,SAMN08978227,SAMN08978227,Aotus_nancymaae_ssp,A,M,Aotidae,348136603,76653339997,Aotus,0.0045417016794522605
1883,SAMN08978228,SAMN08978228,Aotus_nancymaae_ssp,A,M,Aotidae,347034460,76653339997,Aotus,0.004527323401871099
1884,SAMN08978229,SAMN08978229,Aotus_nancymaae_ssp,A,F,Aotidae,357059736,76653339997,Aotus,0.004658110605669294
1885,SAMN08978229,SAMN08978229,Aotus_nancymaae_ssp,X,F,Aotidae,11720263,3990234781,Aotus,0.0029372364392710655
1886,SAMN08978230,SAMN08978230,Aotus_nancymaae_ssp,A,M,Aotidae,364559132,76653339997,Aotus,0.004755945820681367
1887,SAMN08978231,SAMN08978231,Aotus_nancymaae_ssp,A,M,Aotidae,358512520,76653339997,Aotus,0.004677063256656934
1888,SAMN08978232,SAMN08978232,Aotus_nancymaae_ssp,A,F,Aotidae,344137603,76653339997,Aotus,0.004489531741388811
1903,SAMN08978242,SAMN08978242,Aotus_nancymaae_ssp,A,M,Aotidae,351675408,76653339997,Aotus,0.004587868030457167
1890,SAMN08978233,SAMN08978233,Aotus_nancymaae_ssp,A,F,Aotidae,353962216,76653339997,Aotus,0.0046177011466669695
1915,SAMN08978250,SAMN08978250,Aotus_nancymaae_ssp,A,F,Aotidae,365345106,76653339997,Aotus,0.004766199437810519
1902,SAMN08978241,SAMN08978241,Aotus_nancymaae_ssp,X,F,Aotidae,11320921,3990234781,Aotus,0.002837156613918052
11,PD_0008,SAMEA14464397,Aotus_trivirgatus_ssp,X,F,Aotidae,52586,124248208,Aotus,0.0004232334682847096
10,PD_0008,SAMEA14464397,Aotus_trivirgatus_ssp,A,F,Aotidae,2752262,2386518865,Aotus,0.0011532538210210208
413,PD_0286,SAMEA14464398,Aotus_vociferans_ssp,A,M,Aotidae,21523620,12047333725,Aotus,0.0017865878451872967
892,PD_0796,SAMEA112483264,Aotus_vociferans_ssp,A,M,Aotidae,41371050,12047333725,Aotus,0.0034340420000276866
893,PD_0797,SAMEA112483265,Aotus_vociferans_ssp,A,M,Aotidae,40853540,12047333725,Aotus,0.003391085607201439
891,PD_0795,SAMEA112483263,Aotus_vociferans_ssp,A,M,Aotidae,41280115,12047333725,Aotus,0.00342649385683885
428,PD_0296,SAMEA14464373,Alouatta_belzebul_ssp,A,F,Atelidae,16267983,5795682579,Alouatta,0.002806914074098053
583,PD_0415,SAMEA14464374,Alouatta_belzebul_ssp,A,F,Atelidae,16393365,5795682579,Alouatta,0.0028285477640544883
584,PD_0415,SAMEA14464374,Alouatta_belzebul_ssp,X,F,Atelidae,572946,317924004,Alouatta,0.0018021476604201299
429,PD_0296,SAMEA14464373,Alouatta_belzebul_ssp,X,F,Atelidae,578067,317924004,Alouatta,0.0018182552834230157
106,PD_0073,SAMEA14464362,Alouatta_caraya_ssp,A,M,Atelidae,5123284,3904022742,Alouatta,0.0013123089537576264
433,PD_0299,SAMEA14464363,Alouatta_caraya_ssp,A,M,Atelidae,5694080,3904022742,Alouatta,0.0014585160938593734
44,PD_0027,SAMEA14464364,Alouatta_discolor_ssp,A,F,Atelidae,9538570,3893030086,Alouatta,0.00245016601189452
427,PD_0295,SAMEA14464365,Alouatta_discolor_ssp,A,M,Atelidae,8777284,3893030086,Alouatta,0.002254614992975423
45,PD_0027,SAMEA14464364,Alouatta_discolor_ssp,X,F,Atelidae,281146,210659378,Alouatta,0.0013345999720933382
591,PD_0420,SAMEA14464366,Alouatta_juara_ssp,A,F,Atelidae,9140332,3909502134,Alouatta,0.0023379785166271505
592,PD_0420,SAMEA14464366,Alouatta_juara_ssp,X,F,Atelidae,283286,211457532,Alouatta,0.0013396827122715118
593,PD_0421,SAMEA14464367,Alouatta_juara_ssp,A,M,Atelidae,10233298,3909502134,Alouatta,0.0026175450605342987
126,PD_0089,SAMEA14464369,Alouatta_macconnelli_ssp,X,F,Atelidae,675940,534734675,Alouatta,0.0012640661464491713
187,PD_0135,SAMEA14464370,Alouatta_macconnelli_ssp,X,F,Atelidae,683475,534734675,Alouatta,0.0012781572468626614
186,PD_0135,SAMEA14464370,Alouatta_macconnelli_ssp,A,F,Atelidae,21008960,9772216240,Alouatta,0.0021498664667289435
5,PD_0005,SAMEA14464368,Alouatta_macconnelli_ssp,A,M,Atelidae,23578315,9772216240,Alouatta,0.0024127909596892015
125,PD_0089,SAMEA14464369,Alouatta_macconnelli_ssp,A,F,Atelidae,21464770,9772216240,Alouatta,0.002196509929051672
585,PD_0416,SAMEA14464371,Alouatta_macconnelli_ssp,A,F,Atelidae,21932225,9772216240,Alouatta,0.0022443450350828503
586,PD_0416,SAMEA14464371,Alouatta_macconnelli_ssp,X,F,Atelidae,707915,534734675,Alouatta,0.001323862156498454
587,PD_0417,SAMEA14464372,Alouatta_macconnelli_ssp,A,M,Atelidae,23067465,9772216240,Alouatta,0.0023605152028440993
1843,SAMN07678036,SAMN07678036,Alouatta_palliata_ssp,A,F,Atelidae,6280506,11123202708,Alouatta,0.0005646310837689716
1844,SAMN07678036,SAMN07678036,Alouatta_palliata_ssp,X,F,Atelidae,237396,619056798,Alouatta,0.00038348016008702324
241,PD_0175,SAMEA14464375,Alouatta_palliata_ssp,A,F,Atelidae,5639922,11123202708,Alouatta,0.0005070411956031037
242,PD_0175,SAMEA14464375,Alouatta_palliata_ssp,X,F,Atelidae,189372,619056798,Alouatta,0.0003059040795801099
599,PD_0425,SAMEA14464395,Alouatta_seniculus_ssp,X,F,Atelidae,2914338,2250503010,Alouatta,0.0012949718294311457
604,PD_0429,SAMEA14464380,Alouatta_seniculus_ssp,A,M,Atelidae,85658748,41306859384,Alouatta,0.002073717277890642
603,PD_0428,SAMEA14464396,Alouatta_seniculus_ssp,X,F,Atelidae,3389064,2250503010,Alouatta,0.0015059140045318136
602,PD_0428,SAMEA14464396,Alouatta_seniculus_ssp,A,F,Atelidae,100770222,41306859384,Alouatta,0.0024395517718549388
104,PD_0072,SAMEA14464383,Alouatta_seniculus_ssp,A,F,Atelidae,101884797,41306859384,Alouatta,0.0024665345785030695
105,PD_0072,SAMEA14464383,Alouatta_seniculus_ssp,X,F,Atelidae,3645432,2250503010,Alouatta,0.0016198298708340764
606,PD_0430,SAMEA14464381,Alouatta_seniculus_ssp,X,F,Atelidae,2093994,2250503010,Alouatta,0.0009304559872594883
605,PD_0430,SAMEA14464381,Alouatta_seniculus_ssp,A,F,Atelidae,76419147,41306859384,Alouatta,0.001850035275971636
594,PD_0422,SAMEA14464392,Alouatta_seniculus_ssp,A,F,Atelidae,96358794,41306859384,Alouatta,0.002332755272053534
595,PD_0422,SAMEA14464392,Alouatta_seniculus_ssp,X,F,Atelidae,3072888,2250503010,Alouatta,0.001365422746090884
596,PD_0423,SAMEA14464393,Alouatta_seniculus_ssp,A,M,Atelidae,110066985,41306859384,Alouatta,0.0026646176117333647
597,PD_0424,SAMEA14464394,Alouatta_seniculus_ssp,A,M,Atelidae,113123073,41306859384,Alouatta,0.0027386026119385304
598,PD_0425,SAMEA14464395,Alouatta_seniculus_ssp,A,F,Atelidae,95781714,41306859384,Alouatta,0.0023187847110230937
600,PD_0426,SAMEA14464379,Alouatta_seniculus_ssp,A,M,Atelidae,110402460,41306859384,Alouatta,0.0026727391442101216
185,PD_0134,SAMEA14464384,Alouatta_seniculus_ssp,A,M,Atelidae,100781352,41306859384,Alouatta,0.0024398212186288156
40,PD_0025,SAMEA14464382,Alouatta_seniculus_ssp,A,F,Atelidae,90214845,41306859384,Alouatta,0.002184016077362305
42,PD_0026,SAMEA14464376,Alouatta_seniculus_ssp,A,F,Atelidae,68203233,41306859384,Alouatta,0.0016511357681774804
43,PD_0026,SAMEA14464376,Alouatta_seniculus_ssp,X,F,Atelidae,2193639,2250503010,Alouatta,0.0009747327554118668
430,PD_0297,SAMEA14464386,Alouatta_seniculus_ssp,A,F,Atelidae,100470216,41306859384,Alouatta,0.0024322889103236115
189,PD_0137,SAMEA14464377,Alouatta_seniculus_ssp,A,M,Atelidae,90456345,41306859384,Alouatta,0.0021898625639652915
431,PD_0297,SAMEA14464386,Alouatta_seniculus_ssp,X,F,Atelidae,3386040,2250503010,Alouatta,0.0015045703049292967
580,PD_0412,SAMEA14464388,Alouatta_seniculus_ssp,A,M,Atelidae,108816435,41306859384,Alouatta,0.0026343429789326828
581,PD_0413,SAMEA14464389,Alouatta_seniculus_ssp,A,M,Atelidae,109915491,41306859384,Alouatta,0.002660950085267804
432,PD_0298,SAMEA14464387,Alouatta_seniculus_ssp,A,M,Atelidae,109064613,41306859384,Alouatta,0.002640351133599995
588,PD_0418,SAMEA14464391,Alouatta_seniculus_ssp,A,F,Atelidae,102095154,41306859384,Alouatta,0.0024716271225293405
589,PD_0418,SAMEA14464391,Alouatta_seniculus_ssp,X,F,Atelidae,3594234,2250503010,Alouatta,0.0015970802900636867
590,PD_0419,SAMEA14464378,Alouatta_seniculus_ssp,A,M,Atelidae,98636307,41306859384,Alouatta,0.002387891707840811
41,PD_0025,SAMEA14464382,Alouatta_seniculus_ssp,X,F,Atelidae,2735712,2250503010,Alouatta,0.0012156002404102538
582,PD_0414,SAMEA14464390,Alouatta_seniculus_ssp,A,M,Atelidae,111390678,41306859384,Alouatta,0.0026966629673895424
188,PD_0136,SAMEA14464385,Alouatta_seniculus_ssp,A,M,Atelidae,114556827,41306859384,Alouatta,0.0027733124403152517
190,PD_0138,SAMEA14464400,Ateles_belzebuth_ssp,A,F,Atelidae,12770728,4569283738,Ateles,0.0027949080714321796
191,PD_0138,SAMEA14464400,Ateles_belzebuth_ssp,X,F,Atelidae,438638,252890770,Ateles,0.0017344958853183926
3,PD_0004,SAMEA14464399,Ateles_belzebuth_ssp,A,F,Atelidae,12611778,4569283738,Ateles,0.0027601214376589017
4,PD_0004,SAMEA14464399,Ateles_belzebuth_ssp,X,F,Atelidae,436280,252890770,Ateles,0.0017251717016006556
435,PD_0301,SAMEA14464405,Ateles_chamek_ssp,A,M,Atelidae,43183008,25300524436,Ateles,0.0017068028810721051
436,PD_0302,SAMEA14464406,Ateles_chamek_ssp,A,M,Atelidae,73760368,25300524436,Ateles,0.002915369133417911
194,PD_0140,SAMEA14464403,Ateles_chamek_ssp,A,F,Atelidae,44984654,25300524436,Ateles,0.0017780127093330739
192,PD_0139,SAMEA14464402,Ateles_chamek_ssp,A,F,Atelidae,78206733,25300524436,Ateles,0.0030911111426892004
193,PD_0139,SAMEA14464402,Ateles_chamek_ssp,X,F,Atelidae,2491214,1395483837,Ateles,0.001785197315760813
612,PD_0433,SAMEA14464410,Ateles_chamek_ssp,X,F,Atelidae,1299001,1395483837,Ateles,0.0009308606560378242
611,PD_0433,SAMEA14464410,Ateles_chamek_ssp,A,F,Atelidae,43297078,25300524436,Ateles,0.0017113114832668364
610,PD_0432,SAMEA14464409,Ateles_chamek_ssp,X,F,Atelidae,1271556,1395483837,Ateles,0.0009111936421518008
195,PD_0140,SAMEA14464403,Ateles_chamek_ssp,X,F,Atelidae,1325346,1395483837,Ateles,0.0009497394128542673
609,PD_0432,SAMEA14464409,Ateles_chamek_ssp,A,F,Atelidae,44146718,25300524436,Ateles,0.0017448933958532432
434,PD_0300,SAMEA14464404,Ateles_chamek_ssp,A,M,Atelidae,77165264,25300524436,Ateles,0.003049947213355068
440,PD_0305,SAMEA112483027,Ateles_chamek_ssp,X,F,Atelidae,1906564,1395483837,Ateles,0.0013662386832789953
107,PD_0074,SAMEA14464401,Ateles_chamek_ssp,A,M,Atelidae,59244988,25300524436,Ateles,0.0023416505910723567
439,PD_0305,SAMEA112483027,Ateles_chamek_ssp,A,F,Atelidae,63745946,25300524436,Ateles,0.0025195503817026094
437,PD_0303,SAMEA14464407,Ateles_chamek_ssp,A,M,Atelidae,42101521,25300524436,Ateles,0.0016640572453942473
608,PD_0431,SAMEA14464408,Ateles_chamek_ssp,X,F,Atelidae,2453451,1395483837,Ateles,0.0017581364505621286
607,PD_0431,SAMEA14464408,Ateles_chamek_ssp,A,F,Atelidae,76477093,25300524436,Ateles,0.0030227473423903063
245,PD_0177,SAMEA14464411,Ateles_geoffroyi_ssp,X,F,Atelidae,506748,375254238,Ateles,0.0013504124635629032
244,PD_0177,SAMEA14464411,Ateles_geoffroyi_ssp,A,F,Atelidae,13396845,6654681663,Ateles,0.0020131458841204076
2352,SAMN23530499,SAMN23530499,Ateles_geoffroyi_ssp,A,M,Atelidae,13828665,6654681663,Ateles,0.002078035539534117
1846,SAMN07678064,SAMN07678064,Ateles_geoffroyi_ssp,X,F,Atelidae,368568,375254238,Ateles,0.0009821821119579202
1845,SAMN07678064,SAMN07678064,Ateles_geoffroyi_ssp,A,F,Atelidae,13083399,6654681663,Ateles,0.0019660443072346554
109,PD_0076,SAMEA14464412,Ateles_marginatus_ssp,A,F,Atelidae,4392685,2267718398,Ateles,0.001937050474994647
110,PD_0076,SAMEA14464412,Ateles_marginatus_ssp,X,F,Atelidae,154425,125219500,Ateles,0.0012332344403227931
108,PD_0075,SAMEA14464413,Ateles_paniscus_ssp,A,M,Atelidae,4977844,4560800720,Ateles,0.001091440802964967
438,PD_0304,SAMEA14464414,Ateles_paniscus_ssp,A,M,Atelidae,5129548,4560800720,Ateles,0.0011247033832252158
2471,SAMN45929218,SAMN45929218,Brachyteles_hypoxanthus_ssp,A,F,Atelidae,7764294,2119483201,Brachyteles,0.0036632958432209813
2472,SAMN45929218,SAMN45929218,Brachyteles_hypoxanthus_ssp,X,F,Atelidae,262831,115934303,Brachyteles,0.002267068444789805
24,PD_0016,SAMEA14464481,Lagothrix_lagotricha_ssp,A,M,Atelidae,2969515,2102014838,Lagothrix,0.001412699352220272
160,PD_0116,SAMEA112482891,Callimico_goeldii_ssp,A,F,Callitrichidae,5027528,4816217096,Callimico,0.0010438748710425657
2306,SAMN21582229,SAMN21582229,Callimico_goeldii_ssp,A,F,Callitrichidae,4565006,4816217096,Callimico,0.000947840578820951
1742,SAMN03275523,SAMN03275523,Callithrix_geoffroyi_ssp,A,M,Callitrichidae,7736805,2342965957,Callithrix,0.0033021414489122257
1579,SAMN02744556,SAMN02744556,Callithrix_jacchus_ssp,A,F,Callitrichidae,37756968,30368446800,Callithrix,0.0012432959857532127
1746,SAMN03275526,SAMN03275526,Callithrix_jacchus_ssp,A,F,Callitrichidae,38664972,30368446800,Callithrix,0.0012731955721884333
1577,SAMN02744554,SAMN02744554,Callithrix_jacchus_ssp,X,F,Callitrichidae,849012,1627118808,Callithrix,0.0005217885724298013
1576,SAMN02744554,SAMN02744554,Callithrix_jacchus_ssp,A,F,Callitrichidae,38496264,30368446800,Callithrix,0.0012676402008152752
1575,SAMN02744553,SAMN02744553,Callithrix_jacchus_ssp,X,F,Callitrichidae,625752,1627118808,Callithrix,0.00038457671125389635
1574,SAMN02744553,SAMN02744553,Callithrix_jacchus_ssp,A,F,Callitrichidae,34813344,30368446800,Callithrix,0.0011463656415908632
1573,SAMN02744552,SAMN02744552,Callithrix_jacchus_ssp,A,M,Callitrichidae,33770064,30368446800,Callithrix,0.0011120115632650663
1572,SAMN02744551,SAMN02744551,Callithrix_jacchus_ssp,A,M,Callitrichidae,36453936,30368446800,Callithrix,0.0012003885559270684
1571,SAMN02744550,SAMN02744550,Callithrix_jacchus_ssp,A,M,Callitrichidae,39647148,30368446800,Callithrix,0.0013055375620988296
1570,SAMN02744549,SAMN02744549,Callithrix_jacchus_ssp,X,F,Callitrichidae,878172,1627118808,Callithrix,0.0005397098206242355
1578,SAMN02744555,SAMN02744555,Callithrix_jacchus_ssp,A,M,Callitrichidae,34273776,30368446800,Callithrix,0.001128598252841828
1580,SAMN02744556,SAMN02744556,Callithrix_jacchus_ssp,X,F,Callitrichidae,503664,1627118808,Callithrix,0.0003095434688134955
1568,SAMN02744548,SAMN02744548,Callithrix_jacchus_ssp,A,M,Callitrichidae,45602532,30368446800,Callithrix,0.0015016418949684316
1747,SAMN03275526,SAMN03275526,Callithrix_jacchus_ssp,X,F,Callitrichidae,547116,1627118808,Callithrix,0.0003362483411229796
1569,SAMN02744549,SAMN02744549,Callithrix_jacchus_ssp,A,F,Callitrichidae,46322400,30368446800,Callithrix,0.0015253463670720229
1743,SAMN03275524,SAMN03275524,Callithrix_jacchus_ssp,A,F,Callitrichidae,33184788,30368446800,Callithrix,0.001092739059674267
1744,SAMN03275524,SAMN03275524,Callithrix_jacchus_ssp,X,F,Callitrichidae,668436,1627118808,Callithrix,0.00041080958361093447
1745,SAMN03275525,SAMN03275525,Callithrix_jacchus_ssp,A,M,Callitrichidae,37748556,30368446800,Callithrix,0.0012430189877211634
1741,SAMN03275522,SAMN03275522,Callithrix_kuhlii_ssp,A,M,Callitrichidae,5531435,2335655955,Callithrix,0.002368257614379683
414,PD_0287,SAMEA14464443,Cebuella_niveiventris_ssp,A,M,Callitrichidae,5277018,4786496796,Cebuella,0.001102480211500386
13,PD_0010,SAMEA14464442,Cebuella_niveiventris_ssp,A,F,Callitrichidae,4060864,4786496796,Cebuella,0.0008484000247098463
14,PD_0010,SAMEA14464442,Cebuella_niveiventris_ssp,X,F,Callitrichidae,94716,251911558,Cebuella,0.00037598910011107944
444,PD_0309,SAMEA14464444,Cebuella_pygmaea_ssp,A,M,Callitrichidae,6245584,4803576630,Cebuella,0.0013001945177670664
2062,SAMN14122054,SAMN14122054,Cebuella_pygmaea_ssp,A,M,Callitrichidae,7279170,4803576630,Cebuella,0.0015153646044780596
497,PD_0347,SAMEA14464482,Leontocebus_fuscicollis_ssp,A,M,Callitrichidae,12178612,9463850988,Leontocebus,0.0012868558492142648
170,PD_0123,SAMEA112482898,Leontocebus_fuscicollis_ssp,A,M,Callitrichidae,13635536,9463850988,Leontocebus,0.0014408020601010757
162,PD_0118,SAMEA112482893,Leontocebus_fuscicollis_ssp,A,M,Callitrichidae,26746956,9463850988,Leontocebus,0.0028262232820354715
504,PD_0352,SAMEA14464483,Leontocebus_fuscicollis_ssp,X,F,Callitrichidae,411764,490750008,Leontocebus,0.000839050419332851
503,PD_0352,SAMEA14464483,Leontocebus_fuscicollis_ssp,A,F,Callitrichidae,16699440,9463850988,Leontocebus,0.0017645501837650025
25,PD_0017,SAMEA14464484,Leontocebus_nigricollis_ssp,A,F,Callitrichidae,4203864,2314237944,Leontocebus,0.0018165219401484328
26,PD_0017,SAMEA14464484,Leontocebus_nigricollis_ssp,X,F,Callitrichidae,99369,120626232,Leontocebus,0.0008237760423454163
924,PD_0844,SAMEA112483312,Leontopithecus_chrysomelas_ssp,A,M,Callitrichidae,6737612,9527957740,Leontopithecus,0.0007071412556454097
2397,SAMN31952328,SAMN31952328,Leontopithecus_chrysomelas_ssp,A,M,Callitrichidae,4302560,9527957740,Leontopithecus,0.0004515721120316388
921,PD_0841,SAMEA112483309,Leontopithecus_chrysomelas_ssp,X,F,Callitrichidae,146140,502939060,Leontopithecus,0.0002905719830151987
920,PD_0841,SAMEA112483309,Leontopithecus_chrysomelas_ssp,A,F,Callitrichidae,7214724,9527957740,Leontopithecus,0.0007572162048653251
919,PD_0840,SAMEA112483308,Leontopithecus_chrysomelas_ssp,A,M,Callitrichidae,6515944,9527957740,Leontopithecus,0.0006838762490145134
578,PD_0411,SAMEA112483047,Leontopithecus_rosalia_ssp,A,F,Callitrichidae,2930784,7174136100,Leontopithecus,0.0004085208252461227
2312,SAMN21582245,SAMN21582245,Leontopithecus_rosalia_ssp,X,F,Callitrichidae,69435,380683818,Leontopithecus,0.0001823954597408183
2311,SAMN21582245,SAMN21582245,Leontopithecus_rosalia_ssp,A,F,Callitrichidae,2722518,7174136100,Leontopithecus,0.0003794907096897702
423,PD_0293,SAMEA112483026,Leontopithecus_rosalia_ssp,A,F,Callitrichidae,2948472,7174136100,Leontopithecus,0.00041098634858627786
