reference_species	chrom	annotation	length
Callithrix_jacchus	NW_026527970.1	chrY	41357
Callithrix_jacchus	NW_026527972.1	chrY	40115
Callithrix_jacchus	NW_026527973.1	chrY	38592
Callithrix_jacchus	NW_026527975.1	chrY	129904
Callithrix_jacchus	NW_026527976.1	chrY	81465
Callithrix_jacchus	NW_026527977.1	chrY	52748
Callithrix_jacchus	NW_026527980.1	chrY	64216
Callithrix_jacchus	NW_026527981.1	chrY	41217
Callithrix_jacchus	NW_026527982.1	chrY	39558
Callithrix_jacchus	NW_026527983.1	chrY	39181
Callithrix_jacchus	NW_026527938.1	chrY	118726
Callithrix_jacchus	NW_026527941.1	chrY	128013
Callithrix_jacchus	NW_026527948.1	chrY	76229
Callithrix_jacchus	NW_026527950.1	chrY	69350
Callithrix_jacchus	NW_026527966.1	chrY	1080123
Callithrix_jacchus	NW_026527968.1	chrY	1024496
Callithrix_jacchus	NW_026527971.1	chrY	805729
Callithrix_jacchus	NW_026527974.1	chrY	55083
Callithrix_jacchus	NW_026527978.1	chrY	410564
Callithrix_jacchus	NW_026527979.1	chrY	342751
Callithrix_jacchus	NW_026527984.1	chrY	134503
Callithrix_jacchus	NW_026527985.1	chrY	85908
Callithrix_jacchus	NW_026527942.1	chrY	112980
Callithrix_jacchus	NW_026527949.1	chrY	77632
Callithrix_jacchus	NW_026527969.1	chrY	50861
Chlorocebus_sabaeus	NC_132933.1	chrX	151995220
Colobus_guereza	CM058096.1	chrX	155790761
Colobus_guereza	CM058097.1	chrY	5604462
Gorilla_gorilla	NC_073247.2	chrX	177558554
Gorilla_gorilla	NC_073248.2	chrY	67405748
Hoolock_leuconedys	CM104452.1	chrX	142999521
Lemur_catta	NC_059155.1	chrX	73531725
Lemur_catta	NC_059156.1	chrY	6804709
Macaca_fascicularis	CP141341.1	chrX	162126771
Macaca_fascicularis	CP168063.1	chrY	17124583
Macaca_mulatta	NC_027914.1	chrY	11753682
Macaca_mulatta	NC_041774.1	chrX	153388924
Macaca_mulatta	NW_021160381.1	chrX	48696
Macaca_mulatta	NW_021160382.1	chrX	50511
Macaca_mulatta	NW_021160383.1	chrX	68997
Macaca_mulatta	NW_021160384.1	chrX	79627
Macaca_nemestrina	NC_092145.1	chrX	159757195
Macaca_nemestrina	NW_027257581.1	chrX	557167
Macaca_nemestrina	NC_092146.1	chrY	18418642
Macaca_nemestrina	NW_027257582.1	chrY	495723
Macaca_thibetana	NC_065598.1	chrX	150623419
Macaca_thibetana	NC_065599.1	chrY	13980984
Microcebus_murinus	NC_033692.1	chrX	144923918
Microcebus_murinus	NW_017968307.1	chrX	12550
Microcebus_murinus	NW_017968330.1	chrX	6877
Microcebus_murinus	NW_017968332.1	chrX	6652
Microcebus_murinus	NW_017968333.1	chrX	6448
Microcebus_murinus	NW_017968335.1	chrX	5887
Microcebus_murinus	NW_017968336.1	chrX	5770
Microcebus_murinus	NW_017968337.1	chrX	5520
Microcebus_murinus	NW_017968340.1	chrX	5208
Microcebus_murinus	NW_017968342.1	chrX	5169
Microcebus_murinus	NW_017968345.1	chrX	4977
Microcebus_murinus	NW_017968351.1	chrX	4725
Microcebus_murinus	NW_017968352.1	chrX	4624
Microcebus_murinus	NW_017968354.1	chrX	4588
Microcebus_murinus	NW_017968360.1	chrX	4352
Microcebus_murinus	NW_017968368.1	chrX	4205
Microcebus_murinus	NW_017968371.1	chrX	4039
Microcebus_murinus	NW_017968374.1	chrX	3778
Microcebus_murinus	NW_017968375.1	chrX	3763
Microcebus_murinus	NW_017968376.1	chrX	3756
Microcebus_murinus	NW_017968380.1	chrX	3680
Microcebus_murinus	NW_017968381.1	chrX	3669
Microcebus_murinus	NW_017968383.1	chrX	3611
Microcebus_murinus	NW_017968384.1	chrX	3519
Microcebus_murinus	NW_017968385.1	chrX	3447
Microcebus_murinus	NW_017968386.1	chrX	3435
Microcebus_murinus	NW_017968387.1	chrX	3388
Microcebus_murinus	NW_017968388.1	chrX	3384
Microcebus_murinus	NW_017968389.1	chrX	3343
Microcebus_murinus	NW_017968390.1	chrX	3339
Microcebus_murinus	NW_017968392.1	chrX	3268
Microcebus_murinus	NW_017968393.1	chrX	3259
Microcebus_murinus	NW_017968394.1	chrX	3227
Microcebus_murinus	NW_017968396.1	chrX	3146
Microcebus_murinus	NW_017968397.1	chrX	3132
Microcebus_murinus	NW_017968398.1	chrX	2988
Microcebus_murinus	NW_017968399.1	chrX	2973
Microcebus_murinus	NW_017968400.1	chrX	2967
Microcebus_murinus	NW_017968401.1	chrX	2949
Microcebus_murinus	NW_017968402.1	chrX	2949
Microcebus_murinus	NW_017968405.1	chrX	2895
Microcebus_murinus	NW_017968406.1	chrX	2868
Microcebus_murinus	NW_017968408.1	chrX	2812
Microcebus_murinus	NW_017968409.1	chrX	2804
Microcebus_murinus	NW_017968411.1	chrX	2669
Microcebus_murinus	NW_017968412.1	chrX	2663
Microcebus_murinus	NW_017968415.1	chrX	2584
Microcebus_murinus	NW_017968417.1	chrX	2516
Microcebus_murinus	NW_017968418.1	chrX	2493
Microcebus_murinus	NW_017968419.1	chrX	2474
Microcebus_murinus	NW_017968420.1	chrX	2452
Microcebus_murinus	NW_017968421.1	chrX	2448
Microcebus_murinus	NW_017968422.1	chrX	2441
Microcebus_murinus	NW_017968423.1	chrX	2366
Microcebus_murinus	NW_017968424.1	chrX	2347
Microcebus_murinus	NW_017968425.1	chrX	2348
Microcebus_murinus	NW_017968426.1	chrX	2332
Microcebus_murinus	NW_017968427.1	chrX	2309
Microcebus_murinus	NW_017968428.1	chrX	2281
Microcebus_murinus	NW_017968429.1	chrX	2265
Microcebus_murinus	NW_017968430.1	chrX	2237
Microcebus_murinus	NW_017968431.1	chrX	2180
Microcebus_murinus	NW_017968432.1	chrX	2117
Microcebus_murinus	NW_017968433.1	chrX	2113
Microcebus_murinus	NW_017968434.1	chrX	2093
Microcebus_murinus	NW_017968435.1	chrX	2083
Microcebus_murinus	NW_017968436.1	chrX	2014
Microcebus_murinus	NW_017968437.1	chrX	1964
Microcebus_murinus	NW_017968438.1	chrX	1949
Microcebus_murinus	NW_017968439.1	chrX	1944
Microcebus_murinus	NW_017968440.1	chrX	1922
Microcebus_murinus	NW_017968441.1	chrX	1910
Microcebus_murinus	NW_017968442.1	chrX	1901
Microcebus_murinus	NW_017968443.1	chrX	1892
Microcebus_murinus	NW_017968444.1	chrX	1889
Microcebus_murinus	NW_017968445.1	chrX	1881
Microcebus_murinus	NW_017968446.1	chrX	1871
Microcebus_murinus	NW_017968447.1	chrX	1858
Microcebus_murinus	NW_017968448.1	chrX	1830
Microcebus_murinus	NW_017968449.1	chrX	1819
Microcebus_murinus	NW_017968450.1	chrX	1756
Microcebus_murinus	NW_017968451.1	chrX	1746
Microcebus_murinus	NW_017968452.1	chrX	1737
Microcebus_murinus	NW_017968453.1	chrX	1737
Microcebus_murinus	NW_017968454.1	chrX	1710
Microcebus_murinus	NW_017968455.1	chrX	1681
Microcebus_murinus	NW_017968456.1	chrX	1663
Microcebus_murinus	NW_017968457.1	chrX	1666
Microcebus_murinus	NW_017968458.1	chrX	1650
Microcebus_murinus	NW_017968459.1	chrX	1635
Microcebus_murinus	NW_017968460.1	chrX	1618
Microcebus_murinus	NW_017968461.1	chrX	1609
Microcebus_murinus	NW_017968462.1	chrX	1562
Microcebus_murinus	NW_017968463.1	chrX	1544
Microcebus_murinus	NW_017968464.1	chrX	1506
Microcebus_murinus	NW_017968465.1	chrX	1502
Microcebus_murinus	NW_017968466.1	chrX	1500
Microcebus_murinus	NW_017968467.1	chrX	1481
Microcebus_murinus	NW_017968468.1	chrX	1472
Microcebus_murinus	NW_017968469.1	chrX	1453
Microcebus_murinus	NW_017968470.1	chrX	1452
Microcebus_murinus	NW_017968471.1	chrX	1451
Microcebus_murinus	NW_017968472.1	chrX	1446
Microcebus_murinus	NW_017968473.1	chrX	1431
Microcebus_murinus	NW_017968474.1	chrX	1424
Microcebus_murinus	NW_017968475.1	chrX	1423
Microcebus_murinus	NW_017968476.1	chrX	1403
Microcebus_murinus	NW_017968477.1	chrX	1402
Microcebus_murinus	NW_017968478.1	chrX	1402
Microcebus_murinus	NW_017968479.1	chrX	1396
Microcebus_murinus	NW_017968480.1	chrX	1380
Microcebus_murinus	NW_017968481.1	chrX	1361
Microcebus_murinus	NW_017968482.1	chrX	1359
Microcebus_murinus	NW_017968483.1	chrX	1357
Microcebus_murinus	NW_017968484.1	chrX	1331
Microcebus_murinus	NW_017968485.1	chrX	1323
Microcebus_murinus	NW_017968486.1	chrX	1315
Microcebus_murinus	NW_017968487.1	chrX	1303
Microcebus_murinus	NW_017968488.1	chrX	1299
Microcebus_murinus	NW_017968489.1	chrX	1286
Microcebus_murinus	NW_017968490.1	chrX	1276
Microcebus_murinus	NW_017968491.1	chrX	1267
Microcebus_murinus	NW_017968492.1	chrX	1265
Microcebus_murinus	NW_017968493.1	chrX	1264
Microcebus_murinus	NW_017968494.1	chrX	1245
Microcebus_murinus	NW_017968495.1	chrX	1237
Microcebus_murinus	NW_017968496.1	chrX	1230
Microcebus_murinus	NW_017968497.1	chrX	1224
Microcebus_murinus	NW_017968498.1	chrX	1222
Microcebus_murinus	NW_017968499.1	chrX	1220
Microcebus_murinus	NW_017968500.1	chrX	1211
Microcebus_murinus	NW_017968501.1	chrX	1210
Microcebus_murinus	NW_017968502.1	chrX	1200
Microcebus_murinus	NW_017968503.1	chrX	1198
Microcebus_murinus	NW_017968504.1	chrX	1188
Microcebus_murinus	NW_017968505.1	chrX	1182
Microcebus_murinus	NW_017968506.1	chrX	1173
Microcebus_murinus	NW_017968507.1	chrX	1173
Microcebus_murinus	NW_017968508.1	chrX	1171
Microcebus_murinus	NW_017968509.1	chrX	1170
Microcebus_murinus	NW_017968510.1	chrX	1170
Microcebus_murinus	NW_017968511.1	chrX	1169
Microcebus_murinus	NW_017968512.1	chrX	1147
Microcebus_murinus	NW_017968513.1	chrX	1143
Microcebus_murinus	NW_017968514.1	chrX	1124
Microcebus_murinus	NW_017968515.1	chrX	1114
Microcebus_murinus	NW_017968516.1	chrX	1114
Microcebus_murinus	NW_017968517.1	chrX	1039
Microcebus_murinus	NW_017968518.1	chrX	631
Microcebus_murinus	NW_017968301.1	chrX	17037
Microcebus_murinus	NW_017968302.1	chrX	15804
Microcebus_murinus	NW_017968303.1	chrX	15680
Microcebus_murinus	NW_017968304.1	chrX	14478
Microcebus_murinus	NW_017968305.1	chrX	12780
Microcebus_murinus	NW_017968306.1	chrX	12672
Microcebus_murinus	NW_017968308.1	chrX	12118
Microcebus_murinus	NW_017968309.1	chrX	11628
Microcebus_murinus	NW_017968310.1	chrX	10958
Microcebus_murinus	NW_017968311.1	chrX	10840
Microcebus_murinus	NW_017968312.1	chrX	10290
Microcebus_murinus	NW_017968313.1	chrX	10206
Microcebus_murinus	NW_017968314.1	chrX	10094
Microcebus_murinus	NW_017968315.1	chrX	9722
Microcebus_murinus	NW_017968316.1	chrX	9373
Microcebus_murinus	NW_017968317.1	chrX	9269
Microcebus_murinus	NW_017968318.1	chrX	9032
Microcebus_murinus	NW_017968319.1	chrX	8883
Microcebus_murinus	NW_017968320.1	chrX	8118
Microcebus_murinus	NW_017968321.1	chrX	8103
Microcebus_murinus	NW_017968322.1	chrX	8057
Microcebus_murinus	NW_017968323.1	chrX	7897
Microcebus_murinus	NW_017968324.1	chrX	7437
Microcebus_murinus	NW_017968325.1	chrX	7283
Microcebus_murinus	NW_017968326.1	chrX	7065
Microcebus_murinus	NW_017968327.1	chrX	7082
Microcebus_murinus	NW_017968328.1	chrX	7014
Microcebus_murinus	NW_017968329.1	chrX	6901
Microcebus_murinus	NW_017968331.1	chrX	6750
Microcebus_murinus	NW_017968334.1	chrX	5998
Microcebus_murinus	NW_017968338.1	chrX	5487
Microcebus_murinus	NW_017968339.1	chrX	5440
Microcebus_murinus	NW_017968341.1	chrX	5344
Microcebus_murinus	NW_017968343.1	chrX	5150
Microcebus_murinus	NW_017968344.1	chrX	4980
Microcebus_murinus	NW_017968346.1	chrX	4929
Microcebus_murinus	NW_017968347.1	chrX	4870
Microcebus_murinus	NW_017968348.1	chrX	4820
Microcebus_murinus	NW_017968349.1	chrX	4761
Microcebus_murinus	NW_017968350.1	chrX	4765
Microcebus_murinus	NW_017968353.1	chrX	4628
Microcebus_murinus	NW_017968355.1	chrX	4574
Microcebus_murinus	NW_017968356.1	chrX	4547
Microcebus_murinus	NW_017968357.1	chrX	4544
Microcebus_murinus	NW_017968358.1	chrX	4503
Microcebus_murinus	NW_017968359.1	chrX	4401
Microcebus_murinus	NW_017968361.1	chrX	4351
Microcebus_murinus	NW_017968362.1	chrX	4325
Microcebus_murinus	NW_017968363.1	chrX	4308
Microcebus_murinus	NW_017968364.1	chrX	4289
Microcebus_murinus	NW_017968365.1	chrX	4428
Microcebus_murinus	NW_017968366.1	chrX	4263
Microcebus_murinus	NW_017968367.1	chrX	4212
Microcebus_murinus	NW_017968369.1	chrX	4192
Microcebus_murinus	NW_017968370.1	chrX	4129
Microcebus_murinus	NW_017968372.1	chrX	4014
Microcebus_murinus	NW_017968373.1	chrX	3999
Microcebus_murinus	NW_017968377.1	chrX	3756
Microcebus_murinus	NW_017968378.1	chrX	3731
Microcebus_murinus	NW_017968379.1	chrX	3699
Microcebus_murinus	NW_017968382.1	chrX	3640
Microcebus_murinus	NW_017968391.1	chrX	3293
Microcebus_murinus	NW_017968395.1	chrX	3215
Microcebus_murinus	NW_017968403.1	chrX	2942
Microcebus_murinus	NW_017968404.1	chrX	2932
Microcebus_murinus	NW_017968407.1	chrX	2933
Microcebus_murinus	NW_017968410.1	chrX	2774
Microcebus_murinus	NW_017968413.1	chrX	2614
Microcebus_murinus	NW_017968414.1	chrX	2611
Microcebus_murinus	NW_017968416.1	chrX	2540
Nomascus_leucogenys	NC_044406.1	chrX	140746522
Nycticebus_coucang	NC_069804.1	chrX	187328519
Nycticebus_coucang	NC_069805.1	chrY	35646755
Pan_paniscus	NC_073272.2	chrX	160241051
Pan_paniscus	NC_073273.2	chrY	46954669
Pan_troglodytes	NC_072421.2	chrX	153896354
Pan_troglodytes	NC_072422.2	chrY	36447294
Papio_anubis	NC_044996.1	chrX	142711496
Papio_anubis	NC_044997.1	chrY	8309886
Piliocolobus_tephrosceles	NC_045455.1	chrX	95246109
Piliocolobus_tephrosceles	NC_045456.1	chrY	26487807
Plecturocebus_cupreus	CM080837.1	chrX	137505135
Pongo_abelii	NC_072008.2	chrX	162586321
Pongo_abelii	NC_072009.2	chrY	67827326
Pongo_pygmaeus	NC_072396.2	chrX	160969493
Pongo_pygmaeus	NC_072397.2	chrY	49419398
Saguinus_oedipus	CM063191.1	chrX	148490209
Symphalangus_syndactylus	NC_072447.2	chrX	165573899
Symphalangus_syndactylus	NC_072448.2	chrY	29938336
Theropithecus_gelada	NC_037689.1	chrX	153451627
