ID	ID_PGDP	species_full	group	family	genus	species	subspecies	reference	genotyping_species	len_chrA	len_chrA_contigs_longer_than_1Mb	len_chrA_contigs_shorter_than_1Mb	len_chrX	len_chrX_contigs_longer_than_1Mb	len_chrX_contigs_shorter_than_1Mb	len_chrY	len_mtDNA	len_cov_chrA	len_cov_chrX	len_cov_chrY	len_cov_mtDNA	total_seq_chrA	total_seq_chrX	total_seq_chrY	total_seq_mtDNA	frac_cov_chrA	frac_cov_chrX	frac_cov_chrY	frac_cov_mtDNA	cov_chrA	cov_chrX	cov_chrY	cov_mtDNA	cutoff	good_sample	chrA_GT00	chrA_GT01	chrA_GT11	chrA_GTmis	chrX_GT00	chrX_GT0	chrX_GT01	chrX_GT11	chrX_GT1	chrX_GTmis	callable_chrA	callable_chrX	sex	rel_cov_chrX	gSEX	het_chrA	het_chrX	rel_chrX_het	hom_alt_chrA	hom_alt_chrX	rel_chrX_alt	hem_alt_chrX	mis_chrA	mis_chrX
PD_0809	PD_0809	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2834764033	134161247	NA	NA	124048877557	2885978150	NA	NA	0.9573	0.9816	NA	NA	43.7599	21.5113	NA	NA	0.9	TRUE	7828276	1773330	16978152	356851	0	211612	0	0	715723	3891	2413972185	125288748	M	0.4916	M	0.000735	0	0	0.007033	0	0	0.005713	0.000148	3.1e-05
PD_0810	PD_0810	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2837502600	134274459	NA	NA	114807394052	5075012480	NA	NA	0.9582	0.9824	NA	NA	40.4607	37.7958	NA	NA	0.9	TRUE	7740932	1956992	16870102	368583	191204	0	33637	695066	0	11319	2413972185	125288748	F	0.9341	F	0.000811	0.000268	0.3305	0.006989	0.005548	0.7938	0	0.000153	9e-05
PD_0811	PD_0811	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2791485684	134080628	NA	NA	109914061816	4978775553	NA	NA	0.9427	0.981	NA	NA	39.3748	37.1327	NA	NA	0.9	TRUE	7869525	1702659	17011168	353257	190311	0	35632	693896	0	11387	2413972185	125288748	F	0.9431	F	0.000705	0.000284	0.4028	0.007047	0.005538	0.7859	0	0.000146	9.1e-05
PD_0812	PD_0812	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2798334563	134004774	NA	NA	114905395085	2856424292	NA	NA	0.945	0.9804	NA	NA	41.0621	21.3158	NA	NA	0.9	TRUE	7785756	1839717	16956569	354567	0	211008	0	0	716500	3718	2413972185	125288748	M	0.5191	M	0.000762	0	0	0.007024	0	0	0.005719	0.000147	3e-05
PD_0813	PD_0813	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2792858040	133904385	NA	NA	103303479947	2594810092	NA	NA	0.9431	0.9797	NA	NA	36.9884	19.3781	NA	NA	0.9	TRUE	7606044	2181456	16765391	383718	0	211918	0	0	715080	4228	2413972185	125288748	M	0.5239	M	0.000904	0	0	0.006945	0	0	0.005707	0.000159	3.4e-05
PD_0814	PD_0814	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2795803995	134107791	NA	NA	107602595979	4950396986	NA	NA	0.9441	0.9812	NA	NA	38.4872	36.9136	NA	NA	0.9	TRUE	7717834	2018969	16838751	361055	188772	0	38126	692779	0	11549	2413972185	125288748	F	0.9591	F	0.000836	0.000304	0.3636	0.006976	0.005529	0.7926	0	0.00015	9.2e-05
PD_0815	PD_0815	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2800335306	134039577	NA	NA	111313032713	2816903609	NA	NA	0.9457	0.9807	NA	NA	39.7499	21.0155	NA	NA	0.9	TRUE	7820531	1819312	16936536	360230	0	211332	0	0	715982	3912	2413972185	125288748	M	0.5287	M	0.000754	0	0	0.007016	0	0	0.005715	0.000149	3.1e-05
PD_0802	PD_0802	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2742677056	134232459	NA	NA	119757739762	3148386525	NA	NA	0.9262	0.9821	NA	NA	43.6645	23.4547	NA	NA	0.9	TRUE	3078031	3817256	19487003	376283	0	141337	0	0	894735	3537	2391146525	123262061	M	0.5372	M	0.001596	0	0	0.00815	0	0	0.007259	0.000157	2.9e-05
PD_0803	PD_0803	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2747150181	134319749	NA	NA	127619249596	3354843751	NA	NA	0.9277	0.9827	NA	NA	46.4551	24.9765	NA	NA	0.9	TRUE	3170398	3652027	19575533	360615	0	141336	0	0	895248	3025	2391146525	123262061	M	0.5376	M	0.001527	0	0	0.008187	0	0	0.007263	0.000151	2.5e-05
PD_0804	PD_0804	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2744661143	134227481	NA	NA	115399718386	3017768775	NA	NA	0.9269	0.982	NA	NA	42.0452	22.4825	NA	NA	0.9	TRUE	2807892	4335993	19220165	394523	0	141467	0	0	894728	3414	2391146525	123262061	M	0.5347	M	0.001813	0	0	0.008038	0	0	0.007259	0.000165	2.8e-05
PD_0805	PD_0805	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2726793982	134132483	NA	NA	88207365834	2309703243	NA	NA	0.9208	0.9813	NA	NA	32.3484	17.2196	NA	NA	0.9	TRUE	2946151	4039894	19347876	424652	0	140797	0	0	893758	5054	2391146525	123262061	M	0.5323	M	0.00169	0	0	0.008091	0	0	0.007251	0.000178	4.1e-05
SAMN03121886	SAMN03121886	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2954220548	136588852	NA	NA	423601678593	20175711179	NA	NA	0.9976	0.9993	NA	NA	143.3886	147.7113	NA	NA	0.9	TRUE	27717062	11530392	4824812	2719331	757787	0	353306	140483	0	76615	2472690209	128717251	F	1.0301	F	0.004663	0.002745	0.5887	0.001951	0.001091	0.5592	0	0.0011	0.000595
SAMN08978223	SAMN08978223	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2934827215	136473086	NA	NA	112349962277	5273816181	NA	NA	0.9911	0.9985	NA	NA	38.2816	38.6436	NA	NA	0.9	TRUE	29488559	11597655	4846233	859150	811352	0	354917	141180	0	20742	2472690209	128717251	F	1.0095	F	0.00469	0.002757	0.5878	0.00196	0.001097	0.5597	0	0.000347	0.000161
SAMN08978224	SAMN08978224	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2932799629	135964889	NA	NA	110070614814	2612346260	NA	NA	0.9904	0.9948	NA	NA	37.5309	19.2134	NA	NA	0.9	TRUE	28953919	11158995	5698081	980602	0	974585	0	0	341100	12506	2472690209	128717251	M	0.5119	M	0.004513	0	0	0.002304	0	0	0.00265	0.000397	9.7e-05
SAMN08978225	SAMN08978225	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2928492396	136327935	NA	NA	109568454845	5032659033	NA	NA	0.9889	0.9974	NA	NA	37.4146	36.9158	NA	NA	0.9	TRUE	29074285	11388507	5368238	960567	833052	0	225505	246946	0	22688	2472690209	128717251	F	0.9867	F	0.004606	0.001752	0.3804	0.002171	0.001919	0.8839	0	0.000388	0.000176
SAMN08978226	SAMN08978226	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2935681042	136225083	NA	NA	107301663358	2543254817	NA	NA	0.9914	0.9967	NA	NA	36.5509	18.6695	NA	NA	0.9	TRUE	29018279	11513186	5302503	957629	0	1006481	0	0	312090	9620	2472690209	128717251	M	0.5108	M	0.004656	0	0	0.002144	0	0	0.002425	0.000387	7.5e-05
SAMN08978227	SAMN08978227	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2929161443	136012705	NA	NA	112047022443	2645069123	NA	NA	0.9892	0.9951	NA	NA	38.2523	19.4472	NA	NA	0.9	TRUE	29261498	11230213	5371047	928839	0	960708	0	0	356128	11355	2472690209	128717251	M	0.5084	M	0.004542	0	0	0.002172	0	0	0.002767	0.000376	8.8e-05
SAMN08978228	SAMN08978228	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2931416564	136010989	NA	NA	108184693028	2576494910	NA	NA	0.9899	0.9951	NA	NA	36.9053	18.9433	NA	NA	0.9	TRUE	29075671	11194660	5512042	1009224	0	943722	0	0	371695	12774	2472690209	128717251	M	0.5133	M	0.004527	0	0	0.002229	0	0	0.002888	0.000408	9.9e-05
SAMN08978229	SAMN08978229	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2940595006	136522648	NA	NA	109944990145	5013607245	NA	NA	0.993	0.9988	NA	NA	37.3887	36.7236	NA	NA	0.9	TRUE	29279517	11518056	5065671	928353	784256	0	378073	143197	0	22665	2472690209	128717251	F	0.9822	F	0.004658	0.002937	0.6305	0.002049	0.001112	0.5427	0	0.000375	0.000176
SAMN08978230	SAMN08978230	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2929038644	136122548	NA	NA	114530222597	2749916673	NA	NA	0.9891	0.9959	NA	NA	39.1016	20.2018	NA	NA	0.9	TRUE	28612452	11759972	5496905	922268	0	960821	0	0	356916	10454	2472690209	128717251	M	0.5166	M	0.004756	0	0	0.002223	0	0	0.002773	0.000373	8.1e-05
SAMN08978231	SAMN08978231	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2938711439	136136879	NA	NA	113869343392	2725230332	NA	NA	0.9924	0.996	NA	NA	38.7481	20.0183	NA	NA	0.9	TRUE	29383279	11564920	4948565	894833	0	954510	0	0	362999	10682	2472690209	128717251	M	0.5166	M	0.004677	0	0	0.002001	0	0	0.00282	0.000362	8.3e-05
SAMN08978232	SAMN08978232	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2926968950	136390179	NA	NA	104364396922	4829404250	NA	NA	0.9884	0.9979	NA	NA	35.6561	35.4087	NA	NA	0.9	TRUE	29075170	11101213	5579473	1035741	790120	0	329905	182859	0	25307	2472690209	128717251	F	0.9931	F	0.00449	0.002563	0.5708	0.002256	0.001421	0.6299	0	0.000419	0.000197
SAMN08978233	SAMN08978233	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2935287406	136441840	NA	NA	109073683667	5052006971	NA	NA	0.9912	0.9982	NA	NA	37.1595	37.0268	NA	NA	0.9	TRUE	29162608	11418136	5268451	942402	768994	0	364300	171819	0	23078	2472690209	128717251	F	0.9964	F	0.004618	0.00283	0.6128	0.002131	0.001335	0.6265	0	0.000381	0.000179
SAMN08978234	SAMN08978234	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2936507354	136171493	NA	NA	111981918404	2720505425	NA	NA	0.9917	0.9963	NA	NA	38.1344	19.9785	NA	NA	0.9	TRUE	30072784	11252234	4572372	894207	0	1028321	0	0	290226	9644	2472690209	128717251	M	0.5239	M	0.004551	0	0	0.001849	0	0	0.002255	0.000362	7.5e-05
SAMN08978235	SAMN08978235	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2927672319	136468544	NA	NA	110961197776	5117703311	NA	NA	0.9887	0.9984	NA	NA	37.9008	37.501	NA	NA	0.9	TRUE	29091245	11108233	5627610	964509	778664	0	366480	160344	0	22703	2472690209	128717251	F	0.9895	F	0.004492	0.002847	0.6338	0.002276	0.001246	0.5475	0	0.00039	0.000176
SAMN08978236	SAMN08978236	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2940262509	136474925	NA	NA	107293731705	5067499215	NA	NA	0.9929	0.9985	NA	NA	36.4912	37.1314	NA	NA	0.9	TRUE	29252753	11625940	4927250	985654	811843	0	352152	141108	0	23088	2472690209	128717251	F	1.0175	F	0.004702	0.002736	0.5819	0.001993	0.001096	0.5499	0	0.000399	0.000179
SAMN08978237	SAMN08978237	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2931778622	135970451	NA	NA	115715893826	2735435640	NA	NA	0.9901	0.9948	NA	NA	39.4695	20.1179	NA	NA	0.9	TRUE	29852236	11160888	4893984	884489	0	973290	0	0	343154	11747	2472690209	128717251	M	0.5097	M	0.004514	0	0	0.001979	0	0	0.002666	0.000358	9.1e-05
SAMN08978238	SAMN08978238	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2927529344	136230656	NA	NA	109691185637	2634991057	NA	NA	0.9886	0.9967	NA	NA	37.4689	19.3421	NA	NA	0.9	TRUE	29371047	11309141	5121816	989593	0	1009878	0	0	309331	8982	2472690209	128717251	M	0.5162	M	0.004574	0	0	0.002071	0	0	0.002403	4e-04	7e-05
SAMN08978239	SAMN08978239	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2935145378	136225690	NA	NA	111458695679	2652219304	NA	NA	0.9912	0.9967	NA	NA	37.9738	19.4693	NA	NA	0.9	TRUE	29685737	11282508	4933203	890149	0	1019827	0	0	299786	8578	2472690209	128717251	M	0.5127	M	0.004563	0	0	0.001995	0	0	0.002329	0.00036	6.7e-05
SAMN08978240	SAMN08978240	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2932808596	135864308	NA	NA	112767240266	2649328040	NA	NA	0.9904	0.994	NA	NA	38.4503	19.4998	NA	NA	0.9	TRUE	28945383	11625135	5270101	950978	0	938826	0	0	376183	13182	2472690209	128717251	M	0.5071	M	0.004701	0	0	0.002131	0	0	0.002923	0.000385	0.000102
SAMN08978241	SAMN08978241	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2927876996	136518358	NA	NA	110595948780	5147388828	NA	NA	0.9887	0.9988	NA	NA	37.7734	37.7047	NA	NA	0.9	TRUE	28993804	11524841	5327651	945301	807554	0	365191	134560	0	20886	2472690209	128717251	F	0.9982	F	0.004661	0.002837	0.6087	0.002155	0.001045	0.4849	0	0.000382	0.000162
SAMN08978242	SAMN08978242	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2922394768	136209860	NA	NA	112034737718	2672161727	NA	NA	0.9869	0.9965	NA	NA	38.3366	19.618	NA	NA	0.9	TRUE	29179851	11344368	5357622	909756	0	1020453	0	0	299282	8456	2472690209	128717251	M	0.5117	M	0.004588	0	0	0.002167	0	0	0.002325	0.000368	6.6e-05
SAMN08978243	SAMN08978243	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2928541779	136406732	NA	NA	108553197899	5027922616	NA	NA	0.989	0.998	NA	NA	37.0673	36.8598	NA	NA	0.9	TRUE	29047401	11253533	5501737	988926	829119	0	277612	198133	0	23327	2472690209	128717251	F	0.9944	F	0.004551	0.002157	0.474	0.002225	0.001539	0.6917	0	4e-04	0.000181
SAMN08978244	SAMN08978244	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2932471980	135986082	NA	NA	110804847687	2636843054	NA	NA	0.9903	0.9949	NA	NA	37.7855	19.3905	NA	NA	0.9	TRUE	29196363	11366975	5271538	956721	0	958430	0	0	356660	13101	2472690209	128717251	M	0.5132	M	0.004597	0	0	0.002132	0	0	0.002771	0.000387	0.000102
SAMN08978245	SAMN08978245	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2930888781	136475210	NA	NA	110413516049	5036263578	NA	NA	0.9898	0.9985	NA	NA	37.6724	36.9024	NA	NA	0.9	TRUE	28861749	11468637	5519005	942206	779759	0	348678	177394	0	22360	2472690209	128717251	F	0.9796	F	0.004638	0.002709	0.5841	0.002232	0.001378	0.6174	0	0.000381	0.000174
SAMN08978246	SAMN08978246	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2937064414	136160063	NA	NA	107692378567	2588015237	NA	NA	0.9918	0.9962	NA	NA	36.6667	19.0072	NA	NA	0.9	TRUE	28858538	11665112	5250036	1017911	0	967159	0	0	349562	11470	2472690209	128717251	M	0.5184	M	0.004718	0	0	0.002123	0	0	0.002716	0.000412	8.9e-05
SAMN08978247	SAMN08978247	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2932540462	136483445	NA	NA	110373992293	5098824281	NA	NA	0.9903	0.9985	NA	NA	37.6377	37.3586	NA	NA	0.9	TRUE	28969490	11516629	5378750	926728	777726	0	359157	169538	0	21770	2472690209	128717251	F	0.9926	F	0.004658	0.00279	0.599	0.002175	0.001317	0.6055	0	0.000375	0.000169
