REFERENCE_FOLDER	ref_genome_name	genBank	ftp
Piliocolobus_tephrosceles_ssp	ASM277652v5	GCA_002776525.5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/776/525/GCF_002776525.5_ASM277652v5/GCF_002776525.5_ASM277652v5_genomic.fna.gz
Pithecia_pithecia_ssp	Pithecia_pithecia_HiC	GCA_028551515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/551/515/GCA_028551515.1_Pithecia_pithecia_HiC/GCA_028551515.1_Pithecia_pithecia_HiC_genomic.fna.gz
Plecturocebus_cupreus_ssp	PleCup_hybrid	GCA_040437455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/437/455/GCA_040437455.1_PleCup_hybrid/GCA_040437455.1_PleCup_hybrid_genomic.fna.gz
Pongo_abelii_ssp	NHGRI_mPonAbe1-v2.0_pri	GCA_028885655.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/655/GCF_028885655.2_NHGRI_mPonAbe1-v2.0_pri/GCF_028885655.2_NHGRI_mPonAbe1-v2.0_pri_genomic.fna.gz
Pongo_pygmaeus_ssp	NHGRI_mPonPyg2-v2.0_pri	GCA_028885625.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/625/GCF_028885625.2_NHGRI_mPonPyg2-v2.0_pri/GCF_028885625.2_NHGRI_mPonPyg2-v2.0_pri_genomic.fna.gz
Propithecus_coquereli_ssp	Pcoq_1.0_HiC	Pcoq_1.0_HiC	https://dnazoo.s3.wasabisys.com/Propithecus_coquereli/Pcoq_1.0_HiC.fasta.gz
Rhinopithecus_roxellana_ssp	ASM756505v1	GCA_007565055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/565/055/GCF_007565055.1_ASM756505v1/GCF_007565055.1_ASM756505v1_genomic.fna.gz
Saguinus_oedipus_ssp	ASM3183507v1	GCA_031835075.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/835/075/GCA_031835075.1_ASM3183507v1/GCA_031835075.1_ASM3183507v1_genomic.fna.gz
Saimiri_boliviensis_boliviensis	BCM_Sbol_2.1	GCA_016699345.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/345/GCF_016699345.2_BCM_Sbol_2.1/GCF_016699345.2_BCM_Sbol_2.1_genomic.fna.gz
Sapajus_apella_ssp	GSC_monkey_1.0	GCA_009761245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/761/245/GCF_009761245.1_GSC_monkey_1.0/GCF_009761245.1_GSC_monkey_1.0_genomic.fna.gz
Symphalangus_syndactylus_ssp	Symphalangus_syndactylus_HiC	GCA_028878055.3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/878/055/GCF_028878055.3_NHGRI_mSymSyn1-v2.1_pri/GCF_028878055.3_NHGRI_mSymSyn1-v2.1_pri_genomic.fna.gz
Theropithecus_gelada_ssp	Tgel_1.0	GCA_003255815.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/255/815/GCF_003255815.1_Tgel_1.0/GCF_003255815.1_Tgel_1.0_genomic.fna.gz
Trachypithecus_francoisi_ssp	Tfra_2.0	GCA_009764315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/764/315/GCF_009764315.1_Tfra_2.0/GCF_009764315.1_Tfra_2.0_genomic.fna.gz
Varecia_variegata_ssp	Varecia_variegata_HiC	GCA_028533085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/533/085/GCA_028533085.1_Varecia_variegata_HiC/GCA_028533085.1_Varecia_variegata_HiC_genomic.fna.gz
Tupaia_belangeri_ssp	TS_3.0	TS_3.0	http://www.treeshrewdb.org/data/TS_3.0_genome.fa.gz


