ID	ID_PGDP	species_full	group	family	genus	species	subspecies	reference	genotyping_species	len_chrA	len_chrA_contigs_longer_than_1Mb	len_chrA_contigs_shorter_than_1Mb	len_chrX	len_chrX_contigs_longer_than_1Mb	len_chrX_contigs_shorter_than_1Mb	len_chrY	len_mtDNA	len_cov_chrA	len_cov_chrX	len_cov_chrY	len_cov_mtDNA	total_seq_chrA	total_seq_chrX	total_seq_chrY	total_seq_mtDNA	frac_cov_chrA	frac_cov_chrX	frac_cov_chrY	frac_cov_mtDNA	cov_chrA	cov_chrX	cov_chrY	cov_mtDNA	cutoff	good_sample	chrA_GT00	chrA_GT01	chrA_GT11	chrA_GTmis	chrX_GT00	chrX_GT0	chrX_GT01	chrX_GT11	chrX_GT1	chrX_GTmis	callable_chrA	callable_chrX	sex	rel_cov_chrX	gSEX	het_chrA	het_chrX	rel_chrX_het	hom_alt_chrA	hom_alt_chrX	hem_alt_chrX	rel_chrX_hom_alt	mis_chrA	mis_chrX
PD_0809	PD_0809	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2710716644	134161247	NA	NA	117286193228	2885978150	NA	NA	0.964	0.9816	NA	NA	43.2676	21.5113	NA	NA	0.9	TRUE	7828276	1773330	16978152	356851	0	211612	0	0	715723	3891	2413972185	125288748	M	0.4972	M	0.000735	0	0	0.007033	0	0.005713	0	0.000148	3.1e-05
PD_0810	PD_0810	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2712497911	134274459	NA	NA	107979111119	5075012480	NA	NA	0.9646	0.9824	NA	NA	39.808	37.7958	NA	NA	0.9	TRUE	7740932	1956992	16870102	368583	191204	0	33637	695066	0	11319	2413972185	125288748	F	0.9495	F	0.000811	0.000268	0.3305	0.006989	0.005548	0	0.7938	0.000153	9e-05
PD_0811	PD_0811	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2680561791	134080628	NA	NA	106925962422	4978775553	NA	NA	0.9533	0.981	NA	NA	39.8894	37.1327	NA	NA	0.9	TRUE	7869525	1702659	17011168	353257	190311	0	35632	693896	0	11387	2413972185	125288748	F	0.9309	F	0.000705	0.000284	0.4028	0.007047	0.005538	0	0.7859	0.000146	9.1e-05
PD_0812	PD_0812	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2686701354	134004774	NA	NA	111678729468	2856424292	NA	NA	0.9554	0.9804	NA	NA	41.5672	21.3158	NA	NA	0.9	TRUE	7785756	1839717	16956569	354567	0	211008	0	0	716500	3718	2413972185	125288748	M	0.5128	M	0.000762	0	0	0.007024	0	0.005719	0	0.000147	3e-05
PD_0813	PD_0813	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2681969351	133904385	NA	NA	100428651751	2594810092	NA	NA	0.9538	0.9797	NA	NA	37.4459	19.3781	NA	NA	0.9	TRUE	7606044	2181456	16765391	383718	0	211918	0	0	715080	4228	2413972185	125288748	M	0.5175	M	0.000904	0	0	0.006945	0	0.005707	0	0.000159	3.4e-05
PD_0814	PD_0814	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2685022509	134107791	NA	NA	104535962263	4950396986	NA	NA	0.9548	0.9812	NA	NA	38.933	36.9136	NA	NA	0.9	TRUE	7717834	2018969	16838751	361055	188772	0	38126	692779	0	11549	2413972185	125288748	F	0.9481	F	0.000836	0.000304	0.3636	0.006976	0.005529	0	0.7926	0.00015	9.2e-05
PD_0815	PD_0815	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2686727171	134039577	NA	NA	107705460738	2816903609	NA	NA	0.9554	0.9807	NA	NA	40.088	21.0155	NA	NA	0.9	TRUE	7820531	1819312	16936536	360230	0	211332	0	0	715982	3912	2413972185	125288748	M	0.5242	M	0.000754	0	0	0.007016	0	0.005715	0	0.000149	3.1e-05
PD_0802	PD_0802	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2670742104	134232459	NA	NA	116169410016	3148386525	NA	NA	0.9498	0.9821	NA	NA	43.4971	23.4547	NA	NA	0.9	TRUE	3078031	3817256	19487003	376283	0	141337	0	0	894735	3537	2391146525	123262061	M	0.5392	M	0.001596	0	0	0.00815	0	0.007259	0	0.000157	2.9e-05
PD_0803	PD_0803	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2675223927	134319749	NA	NA	123884120885	3354843751	NA	NA	0.9514	0.9827	NA	NA	46.3079	24.9765	NA	NA	0.9	TRUE	3170398	3652027	19575533	360615	0	141336	0	0	895248	3025	2391146525	123262061	M	0.5394	M	0.001527	0	0	0.008187	0	0.007263	0	0.000151	2.5e-05
PD_0804	PD_0804	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2673679103	134227481	NA	NA	112093146923	3017768775	NA	NA	0.9508	0.982	NA	NA	41.9247	22.4825	NA	NA	0.9	TRUE	2807892	4335993	19220165	394523	0	141467	0	0	894728	3414	2391146525	123262061	M	0.5363	M	0.001813	0	0	0.008038	0	0.007259	0	0.000165	2.8e-05
PD_0805	PD_0805	Aotus_griseimembra_ssp	PLA	Aotidae	Aotus	griseimembra	ssp	Aotus_nancymaae_ssp	Aotus_griseimembra_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2660795339	134132483	NA	NA	85622705854	2309703243	NA	NA	0.9462	0.9813	NA	NA	32.1794	17.2196	NA	NA	0.9	TRUE	2946151	4039894	19347876	424652	0	140797	0	0	893758	5054	2391146525	123262061	M	0.5351	M	0.00169	0	0	0.008091	0	0.007251	0	0.000178	4.1e-05
SAMN03121886	SAMN03121886	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2806341928	136588852	NA	NA	401610460555	20175711179	NA	NA	0.998	0.9993	NA	NA	143.1082	147.7113	NA	NA	0.9	TRUE	27717062	11530392	4824812	2719331	757787	0	353306	140483	0	76615	2472690209	128717251	F	1.0322	F	0.004663	0.002745	0.5887	0.001951	0.001091	0	0.5592	0.0011	0.000595
SAMN08978223	SAMN08978223	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2789451337	136473086	NA	NA	106403484546	5273816181	NA	NA	0.992	0.9985	NA	NA	38.145	38.6436	NA	NA	0.9	TRUE	29488559	11597655	4846233	859150	811352	0	354917	141180	0	20742	2472690209	128717251	F	1.0131	F	0.00469	0.002757	0.5878	0.00196	0.001097	0	0.5597	0.000347	0.000161
SAMN08978224	SAMN08978224	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2787554106	135964889	NA	NA	104046842786	2612346260	NA	NA	0.9913	0.9948	NA	NA	37.3255	19.2134	NA	NA	0.9	TRUE	28953919	11158995	5698081	980602	0	974585	0	0	341100	12506	2472690209	128717251	M	0.5148	M	0.004513	0	0	0.002304	0	0.00265	0	0.000397	9.7e-05
SAMN08978225	SAMN08978225	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2783535010	136327935	NA	NA	103381611724	5032659033	NA	NA	0.9899	0.9974	NA	NA	37.1404	36.9158	NA	NA	0.9	TRUE	29074285	11388507	5368238	960567	833052	0	225505	246946	0	22688	2472690209	128717251	F	0.994	F	0.004606	0.001752	0.3804	0.002171	0.001919	0	0.8839	0.000388	0.000176
SAMN08978226	SAMN08978226	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2790445163	136225083	NA	NA	101363640822	2543254817	NA	NA	0.9923	0.9967	NA	NA	36.3253	18.6695	NA	NA	0.9	TRUE	29018279	11513186	5302503	957629	0	1006481	0	0	312090	9620	2472690209	128717251	M	0.514	M	0.004656	0	0	0.002144	0	0.002425	0	0.000387	7.5e-05
SAMN08978227	SAMN08978227	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2784610938	136012705	NA	NA	105747009388	2645069123	NA	NA	0.9903	0.9951	NA	NA	37.9755	19.4472	NA	NA	0.9	TRUE	29261498	11230213	5371047	928839	0	960708	0	0	356128	11355	2472690209	128717251	M	0.5121	M	0.004542	0	0	0.002172	0	0.002767	0	0.000376	8.8e-05
SAMN08978228	SAMN08978228	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2786497452	136010989	NA	NA	102474506899	2576494910	NA	NA	0.9909	0.9951	NA	NA	36.7754	18.9433	NA	NA	0.9	TRUE	29075671	11194660	5512042	1009224	0	943722	0	0	371695	12774	2472690209	128717251	M	0.5151	M	0.004527	0	0	0.002229	0	0.002888	0	0.000408	9.9e-05
SAMN08978229	SAMN08978229	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2794918323	136522648	NA	NA	104002882410	5013607245	NA	NA	0.9939	0.9988	NA	NA	37.2114	36.7236	NA	NA	0.9	TRUE	29279517	11518056	5065671	928353	784256	0	378073	143197	0	22665	2472690209	128717251	F	0.9869	F	0.004658	0.002937	0.6305	0.002049	0.001112	0	0.5427	0.000375	0.000176
SAMN08978230	SAMN08978230	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2784152805	136122548	NA	NA	108398589025	2749916673	NA	NA	0.9901	0.9959	NA	NA	38.9341	20.2018	NA	NA	0.9	TRUE	28612452	11759972	5496905	922268	0	960821	0	0	356916	10454	2472690209	128717251	M	0.5189	M	0.004756	0	0	0.002223	0	0.002773	0	0.000373	8.1e-05
SAMN08978231	SAMN08978231	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2793714514	136136879	NA	NA	108014831456	2725230332	NA	NA	0.9935	0.996	NA	NA	38.6635	20.0183	NA	NA	0.9	TRUE	29383279	11564920	4948565	894833	0	954510	0	0	362999	10682	2472690209	128717251	M	0.5178	M	0.004677	0	0	0.002001	0	0.00282	0	0.000362	8.3e-05
SAMN08978232	SAMN08978232	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2782077508	136390179	NA	NA	98324124361	4829404250	NA	NA	0.9894	0.9979	NA	NA	35.342	35.4087	NA	NA	0.9	TRUE	29075170	11101213	5579473	1035741	790120	0	329905	182859	0	25307	2472690209	128717251	F	1.0019	F	0.00449	0.002563	0.5708	0.002256	0.001421	0	0.6299	0.000419	0.000197
SAMN08978233	SAMN08978233	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2790962577	136441840	NA	NA	102954309127	5052006971	NA	NA	0.9925	0.9982	NA	NA	36.8885	37.0268	NA	NA	0.9	TRUE	29162608	11418136	5268451	942402	768994	0	364300	171819	0	23078	2472690209	128717251	F	1.0037	F	0.004618	0.00283	0.6128	0.002131	0.001335	0	0.6265	0.000381	0.000179
SAMN08978234	SAMN08978234	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2791859851	136171493	NA	NA	105919093010	2720505425	NA	NA	0.9928	0.9963	NA	NA	37.9385	19.9785	NA	NA	0.9	TRUE	30072784	11252234	4572372	894207	0	1028321	0	0	290226	9644	2472690209	128717251	M	0.5266	M	0.004551	0	0	0.001849	0	0.002255	0	0.000362	7.5e-05
SAMN08978235	SAMN08978235	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2783964742	136468544	NA	NA	105169866966	5117703311	NA	NA	0.99	0.9984	NA	NA	37.777	37.501	NA	NA	0.9	TRUE	29091245	11108233	5627610	964509	778664	0	366480	160344	0	22703	2472690209	128717251	F	0.9927	F	0.004492	0.002847	0.6338	0.002276	0.001246	0	0.5475	0.00039	0.000176
SAMN08978236	SAMN08978236	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2795619348	136474925	NA	NA	101500905801	5067499215	NA	NA	0.9942	0.9985	NA	NA	36.3071	37.1314	NA	NA	0.9	TRUE	29252753	11625940	4927250	985654	811843	0	352152	141108	0	23088	2472690209	128717251	F	1.0227	F	0.004702	0.002736	0.5819	0.001993	0.001096	0	0.5499	0.000399	0.000179
SAMN08978237	SAMN08978237	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2786926636	135970451	NA	NA	109596743717	2735435640	NA	NA	0.9911	0.9948	NA	NA	39.3253	20.1179	NA	NA	0.9	TRUE	29852236	11160888	4893984	884489	0	973290	0	0	343154	11747	2472690209	128717251	M	0.5116	M	0.004514	0	0	0.001979	0	0.002666	0	0.000358	9.1e-05
SAMN08978238	SAMN08978238	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2783662923	136230656	NA	NA	103742913466	2634991057	NA	NA	0.9899	0.9967	NA	NA	37.2685	19.3421	NA	NA	0.9	TRUE	29371047	11309141	5121816	989593	0	1009878	0	0	309331	8982	2472690209	128717251	M	0.519	M	0.004574	0	0	0.002071	0	0.002403	0	4e-04	7e-05
SAMN08978239	SAMN08978239	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2790662887	136225690	NA	NA	105400531968	2652219304	NA	NA	0.9924	0.9967	NA	NA	37.769	19.4693	NA	NA	0.9	TRUE	29685737	11282508	4933203	890149	0	1019827	0	0	299786	8578	2472690209	128717251	M	0.5155	M	0.004563	0	0	0.001995	0	0.002329	0	0.00036	6.7e-05
SAMN08978240	SAMN08978240	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2787432734	135864308	NA	NA	106652607490	2649328040	NA	NA	0.9913	0.994	NA	NA	38.2619	19.4998	NA	NA	0.9	TRUE	28945383	11625135	5270101	950978	0	938826	0	0	376183	13182	2472690209	128717251	M	0.5096	M	0.004701	0	0	0.002131	0	0.002923	0	0.000385	0.000102
SAMN08978241	SAMN08978241	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2783062918	136518358	NA	NA	104226805925	5147388828	NA	NA	0.9897	0.9988	NA	NA	37.4504	37.7047	NA	NA	0.9	TRUE	28993804	11524841	5327651	945301	807554	0	365191	134560	0	20886	2472690209	128717251	F	1.0068	F	0.004661	0.002837	0.6087	0.002155	0.001045	0	0.4849	0.000382	0.000162
SAMN08978242	SAMN08978242	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2777958505	136209860	NA	NA	105711465807	2672161727	NA	NA	0.9879	0.9965	NA	NA	38.0537	19.618	NA	NA	0.9	TRUE	29179851	11344368	5357622	909756	0	1020453	0	0	299282	8456	2472690209	128717251	M	0.5155	M	0.004588	0	0	0.002167	0	0.002325	0	0.000368	6.6e-05
SAMN08978243	SAMN08978243	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2784262219	136406732	NA	NA	102474921270	5027922616	NA	NA	0.9901	0.998	NA	NA	36.8051	36.8598	NA	NA	0.9	TRUE	29047401	11253533	5501737	988926	829119	0	277612	198133	0	23327	2472690209	128717251	F	1.0015	F	0.004551	0.002157	0.474	0.002225	0.001539	0	0.6917	4e-04	0.000181
SAMN08978244	SAMN08978244	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2787924207	135986082	NA	NA	105347902603	2636843054	NA	NA	0.9914	0.9949	NA	NA	37.7872	19.3905	NA	NA	0.9	TRUE	29196363	11366975	5271538	956721	0	958430	0	0	356660	13101	2472690209	128717251	M	0.5131	M	0.004597	0	0	0.002132	0	0.002771	0	0.000387	0.000102
SAMN08978245	SAMN08978245	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2787169111	136475210	NA	NA	104433555498	5036263578	NA	NA	0.9912	0.9985	NA	NA	37.4694	36.9024	NA	NA	0.9	TRUE	28861749	11468637	5519005	942206	779759	0	348678	177394	0	22360	2472690209	128717251	F	0.9849	F	0.004638	0.002709	0.5841	0.002232	0.001378	0	0.6174	0.000381	0.000174
SAMN08978246	SAMN08978246	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2792525121	136160063	NA	NA	102309568219	2588015237	NA	NA	0.9931	0.9962	NA	NA	36.6369	19.0072	NA	NA	0.9	TRUE	28858538	11665112	5250036	1017911	0	967159	0	0	349562	11470	2472690209	128717251	M	0.5188	M	0.004718	0	0	0.002123	0	0.002716	0	0.000412	8.9e-05
SAMN08978247	SAMN08978247	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2788221459	136483445	NA	NA	104456738406	5098824281	NA	NA	0.9915	0.9985	NA	NA	37.4636	37.3586	NA	NA	0.9	TRUE	28969490	11516629	5378750	926728	777726	0	359157	169538	0	21770	2472690209	128717251	F	0.9972	F	0.004658	0.00279	0.599	0.002175	0.001317	0	0.6055	0.000375	0.000169
SAMN08978248	SAMN08978248	Aotus_nancymaae_ssp	PLA	Aotidae	Aotus	nancymaae	ssp	Aotus_nancymaae_ssp	Aotus_nancymaae_ssp	2812013893	NA	NA	136682344	NA	NA	NA	NA	2792414320	136439324	NA	NA	100090290384	4903032434	NA	NA	0.993	0.9982	NA	NA	35.8436	35.9356	NA	NA	0.9	TRUE	28828031	11371170	5524593	1067803	749258	0	379556	172713	0	26664	2472690209	128717251	F	1.0026	F	0.004599	0.002949	0.6412	0.002234	0.001342	0	0.6007	0.000432	0.000207
